param_fmriSession,param_counterbalanceVer,param_counterbalanceBlockNum,param_cue_type,param_administer_type,param_cond_type,param_trigger_onset,event01_fixation_onset,event01_fixation_biopac,event01_fixation_duration,event02_cue_onset,event02_cue_biopac,event02_cue_type,event02_cue_filename,event03_expect_onset,event03_rating_biopac,event03_expect_responseonset,event03_expect_RT,event04_fixation_onset,event04_fixation_biopac,event04_fixation_duration,event05_administer_type,event05_administer_filename,event05_administer_onset,event05_stimulus_biopac,event05_administer_response,event05_administer_reseponseonset,event05_response_biopac,event05_administer_RT,event06_actual_onset,event06_actual_responseonset,event06_actual_RT,event06_actual_biopac,param_end_instruct_onset,param_end_biopac,param_experiment_duration,param_runNum,param_cogStimNum,param_cogStimMatch,param_cogStimFilename
1,3,1,high,100,4,1603293015.82321,1603293018.61012,0,3.90429425239563,1603293022.56161,0,high,h018.png,1603293023.66202,0,1603293026.28009,2.61801195144653,1603293027.71354,0,0.00138640403747559,100,38_100_R.jpg,1603293027.81358,0,1,1603293034.34452,0,5.3401153087616,1603293034.38271,1603293037.38445,3.00167346000671,0,1603293655.59918,0,639.775975465775,2,38,different,38_100_R.jpg
1,3,1,low,100,3,1603293015.82321,1603293038.56761,0,2.90135145187378,1603293041.50205,0,low,l056.png,1603293042.55244,0,NaN,NaN,1603293046.57062,0,0.00105857849121094,100,37_100_R.jpg,1603293046.60396,0,99,1603293053.10595,0,NaN,1603293053.13975,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,37,different,37_100_R.jpg
1,3,1,low,150,5,1603293015.82321,1603293057.1746,0,1.80127215385437,1603293059.00862,0,low,l029.png,1603293060.05901,0,NaN,NaN,1603293064.07719,0,0.000599861145019531,150,14_150_R.jpg,1603293064.11053,0,99,1603293070.61201,0,NaN,1603293070.64632,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,14,different,14_150_R.jpg
1,3,1,low,50,1,1603293015.82321,1603293074.68117,0,2.501145362854,1603293077.21545,0,low,l041.png,1603293078.26585,0,NaN,NaN,1603293082.28402,0,0.000962495803833008,50,7_50.jpg,1603293082.31737,0,99,1603293088.81912,0,NaN,1603293088.85315,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,7,same,7_50.jpg
1,3,1,high,50,2,1603293015.82321,1603293092.888,0,3.80248093605042,1603293096.72277,0,high,h021.png,1603293097.77317,0,NaN,NaN,1603293101.79134,0,0.00210356712341309,50,45_50.jpg,1603293101.84136,0,99,1603293108.34404,0,NaN,1603293108.37715,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,45,same,45_50.jpg
1,3,1,high,50,2,1603293015.82321,1603293112.42867,0,1.4008355140686,1603293113.86254,0,high,h016.png,1603293114.91293,0,NaN,NaN,1603293118.93111,0,0.0010833740234375,50,37_50_R.jpg,1603293118.96445,0,99,1603293125.46609,0,NaN,1603293125.50024,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,37,different,37_50_R.jpg
1,3,1,low,150,5,1603293015.82321,1603293129.51841,0,3.80098581314087,1603293133.35319,0,low,l030.png,1603293134.40358,0,NaN,NaN,1603293138.42176,0,0.000527143478393555,150,37_150.jpg,1603293138.4551,0,99,1603293144.95552,0,NaN,1603293144.99089,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,37,same,37_150.jpg
1,3,1,high,150,6,1603293015.82321,1603293149.00906,0,1.10098361968994,1603293150.14282,0,high,h056.png,1603293151.19322,0,NaN,NaN,1603293155.21139,0,0.00113415718078613,150,25_150.jpg,1603293155.24474,0,99,1603293161.74517,0,NaN,1603293161.78052,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,25,same,25_150.jpg
1,3,1,low,150,5,1603293015.82321,1603293165.7987,0,1.50109648704529,1603293167.33261,0,low,l027.png,1603293168.383,0,NaN,NaN,1603293172.40117,0,0.00101637840270996,150,38_150_R.jpg,1603293172.43452,0,99,1603293178.93597,0,NaN,1603293178.97031,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,38,different,38_150_R.jpg
1,3,1,low,150,5,1603293015.82321,1603293182.98848,0,1.70096206665039,1603293184.72247,0,low,l004.png,1603293185.77286,0,NaN,NaN,1603293189.79103,0,0.000528335571289062,150,44_150_R.jpg,1603293189.80771,0,99,1603293196.30987,0,NaN,1603293196.34349,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,44,different,44_150_R.jpg
1,3,1,low,50,1,1603293015.82321,1603293200.36167,0,1.00105214118958,1603293201.39539,0,low,l031.png,1603293202.44578,0,NaN,NaN,1603293206.46396,0,0.00079655647277832,50,30_50.jpg,1603293206.4973,0,99,1603293212.99812,0,NaN,1603293213.03309,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,30,same,30_50.jpg
1,3,1,high,50,2,1603293015.82321,1603293217.05127,0,1.20076155662537,1603293218.28506,0,high,h023.png,1603293219.33546,0,NaN,NaN,1603293223.35363,0,0.00087428092956543,50,26_50_R.jpg,1603293223.38698,0,99,1603293229.88749,0,NaN,1603293229.92276,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,26,different,26_50_R.jpg
1,3,1,high,100,4,1603293015.82321,1603293233.94094,0,2.40101170539856,1603293236.37518,0,high,h038.png,1603293237.42558,0,NaN,NaN,1603293241.44375,0,0.000428676605224609,100,30_100.jpg,1603293241.46043,0,99,1603293247.96198,0,NaN,1603293247.99621,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,30,same,30_100.jpg
