,Unnamed: 0,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version,ISI1,ISI2
0,0,34,150,different,high,h008.png,34,6,cognitive,99,1,34_150_R.jpg,1,1.607,0.3185
1,1,36,100,same,high,h035.png,12,4,cognitive,99,1,36_100.jpg,1,3.2314,0.5229
2,2,28,50,different,high,h036.png,10,2,cognitive,99,1,28_50_R.jpg,1,1.6716,1.2017
3,3,13,100,same,high,h043.png,16,4,cognitive,99,1,13_100.jpg,1,2.8735,0.0325
4,4,34,100,same,high,h018.png,14,4,cognitive,99,1,34_100.jpg,1,2.8542,0.5617
5,5,11,150,different,high,h034.png,32,6,cognitive,99,1,11_150_R.jpg,1,4.0,0.3759
6,6,5,50,same,low,l053.png,1,1,cognitive,99,1,5_50.jpg,1,1.9652,1.5333
7,7,2,150,same,high,h030.png,24,6,cognitive,99,1,2_150.jpg,1,2.8735,0.5523
8,8,1,50,different,high,h050.png,6,2,cognitive,99,1,1_50_R.jpg,1,2.9229,0.0563
9,9,21,150,same,low,l008.png,29,5,cognitive,99,1,21_150.jpg,1,3.5882,0.1292
10,10,13,150,different,low,l041.png,35,5,cognitive,99,1,13_150_R.jpg,1,2.2204,2.0
11,11,29,150,same,low,l015.png,25,5,cognitive,99,1,29_150.jpg,1,0.0396,0.2654
12,12,29,100,different,high,h053.png,22,4,cognitive,99,1,29_100_R.jpg,1,2.8735,0.4249
13,13,42,100,same,low,l023.png,17,3,cognitive,99,1,42_100.jpg,1,3.2181,0.0755
14,14,34,50,same,high,h004.png,4,2,cognitive,99,1,34_50.jpg,1,4.0,0.1223
15,15,5,100,same,low,l011.png,13,3,cognitive,99,1,5_100.jpg,1,4.0,0.1292
16,16,28,100,different,low,l038.png,23,3,cognitive,99,1,28_100_R.jpg,1,4.0,2.0
17,17,36,50,different,high,h026.png,8,2,cognitive,99,1,36_50_R.jpg,1,2.5979,0.127
18,18,24,50,same,high,h038.png,2,2,cognitive,99,1,24_50.jpg,1,4.0,0.8366
19,19,2,100,different,high,h013.png,18,4,cognitive,99,1,2_100_R.jpg,1,1.7399,0.0976
20,20,21,50,different,low,l048.png,7,1,cognitive,99,1,21_50_R.jpg,1,3.0646,0.1223
21,21,28,150,different,low,l004.png,33,5,cognitive,99,1,28_150_R.jpg,1,1.3528,0.0976
22,22,1,150,same,high,h006.png,28,6,cognitive,99,1,1_150.jpg,1,2.4979,0.0976
23,23,1,100,different,low,l029.png,21,3,cognitive,99,1,1_100_R.jpg,1,1.28,0.0325
24,24,24,150,different,high,h014.png,30,6,cognitive,99,1,24_150_R.jpg,1,2.8542,0.127
25,25,13,50,same,low,l012.png,5,1,cognitive,99,1,13_50.jpg,1,4.0,0.4249
26,26,21,100,same,low,l018.png,15,3,cognitive,99,1,21_100.jpg,1,1.5607,0.0409
27,27,24,100,different,high,h010.png,20,4,cognitive,99,1,24_100_R.jpg,1,0.1018,0.2654
28,28,36,150,same,low,l045.png,27,5,cognitive,99,1,36_150.jpg,1,4.0,0.0563
29,29,11,100,different,low,l025.png,19,3,cognitive,99,1,11_100_R.jpg,1,0.9203,1.1965
30,30,42,150,different,low,l009.png,31,5,cognitive,99,1,42_150_R.jpg,1,3.0772,0.0976
31,31,5,150,same,high,h015.png,26,6,cognitive,99,1,5_150.jpg,1,4.0,0.1292
32,32,2,50,different,low,l054.png,11,1,cognitive,99,1,2_50_R.jpg,1,0.8933,0.1923
33,33,29,50,same,low,l017.png,3,1,cognitive,99,1,29_50.jpg,1,0.695,0.1343
34,34,42,50,same,high,h021.png,0,2,cognitive,99,1,42_50.jpg,1,3.0646,0.6236
35,35,11,50,different,low,l013.png,9,1,cognitive,99,1,11_50_R.jpg,1,1.3528,0.025
