,Unnamed: 0,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ISI1,ISI2
0,0,50,low,l042.png,33,5,pain,99,1,5,4.0,0.4535
1,1,50,high,h016.png,30,6,pain,99,1,5,2.4749,0.3299
2,2,49,high,h007.png,18,4,pain,99,1,5,3.7165,0.1423
3,3,49,high,h010.png,12,4,pain,99,1,5,0.7111,0.1484
4,4,49,low,l013.png,13,3,pain,99,1,5,1.2674,0.3299
5,5,48,high,h055.png,0,2,pain,99,1,5,4.0,0.6706
6,6,48,high,h040.png,6,2,pain,99,1,5,4.0,0.67
7,7,49,high,h020.png,22,4,pain,99,1,5,4.0,0.2091
8,8,48,low,l036.png,9,1,pain,99,1,5,2.1674,0.1423
9,9,49,high,h005.png,14,4,pain,99,1,5,3.796,0.2091
10,10,48,low,l043.png,5,1,pain,99,1,5,4.0,2.0
11,11,48,low,l016.png,3,1,pain,99,1,5,0.2117,0.0742
12,12,48,low,l022.png,7,1,pain,99,1,5,0.7076,0.0231
13,13,49,high,h045.png,16,4,pain,99,1,5,4.0,0.3099
14,14,49,low,l049.png,17,3,pain,99,1,5,0.878,0.0742
15,15,50,high,h037.png,28,6,pain,99,1,5,2.5465,0.1484
16,16,49,low,l052.png,21,3,pain,99,1,5,2.1674,1.6532
17,17,48,high,h013.png,10,2,pain,99,1,5,0.9662,1.5421
18,18,48,low,l026.png,1,1,pain,99,1,5,1.8319,0.7967
19,19,49,low,l030.png,19,3,pain,99,1,5,4.0,0.9526
20,20,50,high,h001.png,24,6,pain,99,1,5,2.3909,0.0202
21,21,50,low,l002.png,25,5,pain,99,1,5,0.219,0.7878
22,22,50,low,l046.png,31,5,pain,99,1,5,0.3937,0.0255
23,23,48,high,h011.png,2,2,pain,99,1,5,2.4749,0.4535
24,24,48,low,l014.png,11,1,pain,99,1,5,4.0,0.0742
25,25,48,high,h051.png,4,2,pain,99,1,5,3.5946,0.8583
26,26,48,high,h054.png,8,2,pain,99,1,5,2.5644,0.4528
27,27,50,high,h043.png,34,6,pain,99,1,5,2.0936,0.494
28,28,50,high,h049.png,26,6,pain,99,1,5,2.1366,0.6518
29,29,49,low,l021.png,23,3,pain,99,1,5,3.7165,0.1423
30,30,49,high,h047.png,20,4,pain,99,1,5,4.0,0.67
31,31,49,low,l033.png,15,3,pain,99,1,5,3.796,0.8583
32,32,50,low,l035.png,27,5,pain,99,1,5,0.2117,0.2091
33,33,50,low,l041.png,35,5,pain,99,1,5,1.1934,0.2335
34,34,50,high,h032.png,32,6,pain,99,1,5,4.0,0.0862
35,35,50,low,l008.png,29,5,pain,99,1,5,1.1934,0.2335
