,Unnamed: 0,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version,ISI1,ISI2
0,0,121-vw121,med,high,h001.png,14,4,vicarious,99,vw121*M.mp4,vw121t1aiaff_M.mp4,3,0.8131,0.7559
1,1,107-hs107,low,high,h023.png,10,2,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4,3,4.0,1.1616
2,2,048-aa048,high,low,l047.png,33,5,vicarious,99,aa048*H.mp4,aa048t2aeaff_H.mp4,3,1.6994,0.1298
3,3,092-ch092,low,high,h029.png,6,2,vicarious,99,ch092*L.mp4,ch092t2aeaff_L.mp4,3,1.9191,0.7559
4,4,121-vw121,high,high,h046.png,28,6,vicarious,99,vw121*H.mp4,vw121t1aaaff_H.mp4,3,4.0,0.5952
5,5,121-vw121,low,low,l032.png,1,1,vicarious,99,vw121*L.mp4,vw121t1aeaff_L.mp4,3,3.4724,0.1854
6,6,120-kz120,high,low,l046.png,27,5,vicarious,99,kz120*H.mp4,kz120t2aaaff_H.mp4,3,1.9521,2.0
7,7,120-kz120,med,high,h056.png,22,4,vicarious,99,kz120*M.mp4,kz120t2aeaff_M.mp4,3,0.3995,0.9815
8,8,096-bg096,high,low,h053.png,29,5,vicarious,99,bg096*H.mp4,bg096t1aeaff_H.mp4,3,4.0,0.4528
9,9,048-aa048,low,high,h004.png,2,2,vicarious,99,aa048*L.mp4,aa048t2aaunaff_L.mp4,3,1.3431,0.4758
10,10,047-jl047,high,high,h021.png,32,6,vicarious,99,jl047*H.mp4,jl047t1aiaff_H.mp4,3,1.6115,0.4178
11,11,097-gf097,med,low,h033.png,21,3,vicarious,99,gf097*M.mp4,gf097t1aiaff_M.mp4,3,4.0,2.0
12,12,092-ch092,med,low,h010.png,15,3,vicarious,99,ch092*M.mp4,ch092t2aaaff_M.mp4,3,4.0,2.0
13,13,097-gf097,low,low,l030.png,11,1,vicarious,99,gf097*L.mp4,gf097t2aiunaff_L.mp4,3,0.783,0.1298
14,14,096-bg096,med,high,h018.png,16,4,vicarious,99,bg096*M.mp4,bg096t2aaaff_M.mp4,3,4.0,0.0174
15,15,064-ak064,high,high,h025.png,26,6,vicarious,99,ak064*H.mp4,ak064t1aaaff_H.mp4,3,4.0,0.1459
16,16,107-hs107,med,high,h009.png,20,4,vicarious,99,hs107*M.mp4,hs107t2aaaff_M.mp4,3,0.727,0.1431
17,17,120-kz120,low,low,h048.png,5,1,vicarious,99,kz120*L.mp4,kz120t2aaunaff_L.mp4,3,4.0,0.4178
18,18,049-bm049,high,high,h010.png,24,6,vicarious,99,bm049*H.mp4,bm049t2aeunaff_H.mp4,3,0.7548,0.9093
19,19,047-jl047,med,low,h018.png,23,3,vicarious,99,jl047*M.mp4,jl047t1aiunaff_M.mp4,3,4.0,0.8622
20,20,115-jy115,low,low,l040.png,7,1,vicarious,99,jy115*L.mp4,jy115t1aaunaff_L.mp4,3,1.6115,0.1298
21,21,064-ak064,med,low,l013.png,17,3,vicarious,99,ak064*M.mp4,ak064t1aiaff_M.mp4,3,4.0,0.1331
22,22,115-jy115,high,low,h052.png,31,5,vicarious,99,jy115*H.mp4,jy115t2aaaff_H.mp4,3,4.0,0.1399
23,23,047-jl047,low,high,h051.png,8,2,vicarious,99,jl047*L.mp4,jl047t1aaunaff_L.mp4,3,1.2752,0.5952
24,24,096-bg096,low,low,l017.png,9,1,vicarious,99,bg096*L.mp4,bg096t2afunaff_L.mp4,3,4.0,0.4758
25,25,049-bm049,low,low,l038.png,3,1,vicarious,99,bm049*L.mp4,bm049t1afaff_L.mp4,3,1.9191,0.2448
26,26,052-dr052,high,high,h013.png,30,6,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4,3,0.783,0.467
27,27,092-ch092,high,low,h034.png,25,5,vicarious,99,ch092*H.mp4,ch092t2aiaff_H.mp4,3,0.1723,0.0174
28,28,052-dr052,low,high,h052.png,0,2,vicarious,99,dr052*L.mp4,dr052t1aeunaff_L.mp4,3,2.0859,0.2759
29,29,097-gf097,high,high,h007.png,34,6,vicarious,99,gf097*H.mp4,gf097t2aaunaff_H.mp4,3,2.435,0.1298
30,30,107-hs107,high,low,l006.png,35,5,vicarious,99,hs107*H.mp4,hs107t1afaff_H.mp4,3,2.486,0.0659
31,31,115-jy115,med,low,h040.png,19,3,vicarious,99,jy115*M.mp4,jy115t1aeaff_M.mp4,3,3.2144,0.0174
32,32,049-bm049,med,high,h045.png,18,4,vicarious,99,bm049*M.mp4,bm049t2aeaff_M.mp4,3,0.1455,0.7559
33,33,052-dr052,med,low,h016.png,13,3,vicarious,99,dr052*M.mp4,dr052t2aaaff_M.mp4,3,2.5595,2.0
34,34,064-ak064,low,high,h027.png,4,2,vicarious,99,ak064*L.mp4,ak064t1afunaff_L.mp4,3,0.727,0.1854
35,35,048-aa048,med,high,h003.png,12,4,vicarious,99,aa048*M.mp4,aa048t2afunaff_M.mp4,3,1.3431,0.2322
