Event1 onset	Event2 onset	Trial type	ISI1	ISI2	Event1Dur	Event2Dur	
0.0000	5.3360	6.0000	4.0000	0.3360	5.0000	8.0000	
17.3360	22.5259	1.0000	1.1090	0.1899	5.0000	8.0000	
31.6349	36.8113	5.0000	0.8132	0.1764	5.0000	8.0000	
45.6245	51.8984	6.0000	4.0000	1.2739	5.0000	8.0000	
63.8984	69.5061	4.0000	4.0000	0.6077	5.0000	8.0000	
81.5061	87.6047	2.0000	0.0404	1.0986	5.0000	8.0000	
95.6451	101.8843	2.0000	3.3958	1.2392	5.0000	8.0000	
113.2801	119.0603	2.0000	0.5525	0.7802	5.0000	8.0000	
127.6128	132.9445	3.0000	1.6692	0.3317	5.0000	8.0000	
142.6137	148.3360	6.0000	2.5328	0.7223	5.0000	8.0000	
158.8688	164.0452	2.0000	3.9422	0.1764	5.0000	8.0000	
175.9874	181.1448	2.0000	2.4923	0.1574	5.0000	8.0000	
191.6371	197.2448	5.0000	1.3839	0.6077	5.0000	8.0000	
206.6287	212.0767	1.0000	1.9940	0.4480	5.0000	8.0000	
222.0707	227.5187	4.0000	1.4057	0.4480	5.0000	8.0000	
236.9244	243.1983	3.0000	4.0000	1.2739	5.0000	8.0000	
255.1983	260.8060	1.0000	4.0000	0.6077	5.0000	8.0000	
272.8060	278.1884	3.0000	4.0000	0.3824	5.0000	8.0000	
290.1884	295.5051	5.0000	1.1407	0.3166	5.0000	8.0000	
304.6458	309.7354	5.0000	3.1052	0.0896	5.0000	8.0000	
320.8405	326.0170	1.0000	2.3153	0.1764	5.0000	8.0000	
336.3323	342.5715	3.0000	2.3153	1.2392	5.0000	8.0000	
352.8868	358.0443	1.0000	0.1353	0.1574	5.0000	8.0000	
366.1796	371.9019	5.0000	1.5025	0.7223	5.0000	8.0000	
381.4044	386.4923	5.0000	4.0000	0.0879	5.0000	8.0000	
398.4923	403.9404	6.0000	4.0000	0.4480	5.0000	8.0000	
415.9404	421.3030	2.0000	4.0000	0.3627	5.0000	8.0000	
433.3030	438.6390	3.0000	3.1052	0.3360	5.0000	8.0000	
449.7441	455.0607	1.0000	4.0000	0.3166	5.0000	8.0000	
467.0607	472.5088	3.0000	0.5525	0.4480	5.0000	8.0000	
481.0613	486.4437	4.0000	1.0316	0.3824	5.0000	8.0000	
495.4753	501.2555	4.0000	1.5151	0.7802	5.0000	8.0000	
510.7705	515.9866	6.0000	3.9422	0.2160	5.0000	8.0000	
527.9287	533.1374	4.0000	3.4522	0.2086	5.0000	8.0000	
544.5895	549.9062	4.0000	1.2965	0.3166	5.0000	8.0000	
559.2027	564.5851	6.0000	0.0404	0.3824	5.0000	8.0000	

