Event1 onset	Event2 onset	Trial type	ISI1	ISI2	Event1Dur	Event2Dur	
0.0000	5.4518	1.0000	2.1150	0.4518	5.0000	8.0000	
15.5667	20.7375	2.0000	4.0000	0.1707	5.0000	8.0000	
32.7375	37.9300	3.0000	3.3000	0.1926	5.0000	8.0000	
49.2300	54.7425	3.0000	0.8398	0.5125	5.0000	8.0000	
63.5823	70.0720	1.0000	3.8379	1.4897	5.0000	8.0000	
81.9100	86.9595	3.0000	2.5491	0.0495	5.0000	8.0000	
97.5086	103.6965	2.0000	4.0000	1.1879	5.0000	8.0000	
115.6965	121.6439	6.0000	3.3000	0.9474	5.0000	8.0000	
132.9439	138.5663	6.0000	4.0000	0.6224	5.0000	8.0000	
150.5663	155.5715	5.0000	0.1143	0.0052	5.0000	8.0000	
163.6858	169.3082	5.0000	4.0000	0.6224	5.0000	8.0000	
181.3082	186.3577	4.0000	0.0527	0.0495	5.0000	8.0000	
194.4104	199.4789	6.0000	0.1663	0.0684	5.0000	8.0000	
207.6452	213.2685	5.0000	2.1981	0.6233	5.0000	8.0000	
223.4666	228.9397	2.0000	4.0000	0.4730	5.0000	8.0000	
240.9397	246.6181	4.0000	2.4469	0.6785	5.0000	8.0000	
257.0651	262.5657	4.0000	2.2367	0.5007	5.0000	8.0000	
272.8024	278.7498	4.0000	2.7597	0.9474	5.0000	8.0000	
289.5095	295.6562	4.0000	4.0000	1.1467	5.0000	8.0000	
307.6562	312.7945	1.0000	2.2367	0.1383	5.0000	8.0000	
323.0312	330.0312	5.0000	2.4469	2.0000	5.0000	8.0000	
340.4781	346.7135	3.0000	0.1143	1.2354	5.0000	8.0000	
354.8277	360.2795	3.0000	4.0000	0.4518	5.0000	8.0000	
372.2795	378.5362	5.0000	4.0000	1.2567	5.0000	8.0000	
390.5362	395.7117	2.0000	0.0789	0.1755	5.0000	8.0000	
403.7906	408.8363	4.0000	0.1803	0.0457	5.0000	8.0000	
417.0165	422.5172	1.0000	0.0628	0.5007	5.0000	8.0000	
430.5799	435.7917	6.0000	4.0000	0.2117	5.0000	8.0000	
447.7917	452.9672	5.0000	1.7990	0.1755	5.0000	8.0000	
462.7662	467.9417	1.0000	0.0527	0.1755	5.0000	8.0000	
475.9944	482.2298	1.0000	4.0000	1.2354	5.0000	8.0000	
494.2298	499.8531	3.0000	1.6630	0.6233	5.0000	8.0000	
509.5160	516.0352	6.0000	4.0000	1.5192	5.0000	8.0000	
528.0352	533.1735	2.0000	2.6757	0.1383	5.0000	8.0000	
543.8492	550.5658	6.0000	0.1497	1.7166	5.0000	8.0000	
558.7154	565.4320	2.0000	2.1150	1.7166	5.0000	8.0000	

Event1 onset	Event2 onset	Trial type	ISI1	ISI2	Event1Dur	Event2Dur	
0.0000	5.1482	6.0000	3.1189	0.1482	5.0000	8.0000	
16.2671	21.5741	3.0000	2.7220	0.3070	5.0000	8.0000	
32.2960	37.6938	6.0000	2.2473	0.3978	5.0000	8.0000	
47.9412	52.9671	6.0000	2.5117	0.0259	5.0000	8.0000	
63.4788	68.8766	3.0000	4.0000	0.3978	5.0000	8.0000	
80.8766	87.2086	3.0000	2.2473	1.3320	5.0000	8.0000	
97.4559	102.4818	4.0000	4.0000	0.0259	5.0000	8.0000	
114.4818	120.1250	5.0000	0.0273	0.6432	5.0000	8.0000	
128.1523	133.3336	4.0000	3.7234	0.1813	5.0000	8.0000	
145.0570	150.2040	2.0000	4.0000	0.1470	5.0000	8.0000	
162.2040	167.7511	2.0000	1.9470	0.5471	5.0000	8.0000	
177.6981	182.8089	4.0000	4.0000	0.1108	5.0000	8.0000	
194.8089	200.0783	4.0000	1.8416	0.2694	5.0000	8.0000	
209.9199	216.9199	6.0000	4.0000	2.0000	5.0000	8.0000	
228.9199	235.2251	2.0000	1.3899	1.3052	5.0000	8.0000	
244.6150	249.9682	5.0000	2.1069	0.3532	5.0000	8.0000	
260.0751	265.1508	4.0000	0.7215	0.0757	5.0000	8.0000	
273.8723	279.2701	5.0000	1.3210	0.3978	5.0000	8.0000	
288.5912	293.7382	1.0000	2.2473	0.1470	5.0000	8.0000	
303.9855	309.3147	2.0000	3.8577	0.3291	5.0000	8.0000	
321.1724	327.3953	6.0000	0.9079	1.2229	5.0000	8.0000	
336.3032	341.4015	3.0000	4.0000	0.0983	5.0000	8.0000	
353.4015	358.7993	1.0000	0.4753	0.3978	5.0000	8.0000	
367.2746	373.0702	4.0000	0.6689	0.7956	5.0000	8.0000	
381.7391	386.9204	6.0000	3.7234	0.1813	5.0000	8.0000	
398.6438	404.8667	5.0000	3.4232	1.2229	5.0000	8.0000	
416.2899	421.4369	5.0000	3.4364	0.1470	5.0000	8.0000	
432.8733	438.0546	2.0000	1.4891	0.1813	5.0000	8.0000	
447.5437	454.5437	2.0000	4.0000	2.0000	5.0000	8.0000	
466.5437	472.1870	3.0000	0.7215	0.6432	5.0000	8.0000	
480.9085	486.2617	1.0000	1.0298	0.3532	5.0000	8.0000	
495.2915	500.5609	1.0000	3.1189	0.2694	5.0000	8.0000	
511.6799	516.7431	1.0000	1.8416	0.0633	5.0000	8.0000	
526.5847	531.8226	1.0000	3.4232	0.2379	5.0000	8.0000	
543.2458	548.9519	3.0000	0.0350	0.7061	5.0000	8.0000	
556.9869	563.9869	5.0000	0.5262	2.0000	5.0000	8.0000	

