Event1 onset	Event2 onset	Trial type	ISI1	ISI2	Event1Dur	Event2Dur	
0.0000	5.4926	5.0000	3.4686	0.4926	5.0000	8.0000	
16.9613	22.5061	4.0000	4.0000	0.5448	5.0000	8.0000	
34.5061	40.7070	5.0000	4.0000	1.2009	5.0000	8.0000	
52.7070	58.0032	2.0000	0.0816	0.2961	5.0000	8.0000	
66.0848	71.9961	5.0000	0.0268	0.9113	5.0000	8.0000	
80.0229	85.7881	3.0000	4.0000	0.7652	5.0000	8.0000	
97.7881	103.5344	1.0000	2.0033	0.7462	5.0000	8.0000	
113.5376	118.8257	6.0000	4.0000	0.2881	5.0000	8.0000	
130.8257	135.9173	6.0000	4.0000	0.0916	5.0000	8.0000	
147.9173	152.9638	2.0000	3.4686	0.0465	5.0000	8.0000	
164.4324	170.0158	5.0000	2.7975	0.5834	5.0000	8.0000	
180.8132	185.9614	5.0000	2.6266	0.1482	5.0000	8.0000	
196.5880	201.7362	1.0000	0.8235	0.1482	5.0000	8.0000	
210.5597	215.6513	2.0000	2.9753	0.0916	5.0000	8.0000	
226.6266	231.6731	4.0000	2.7975	0.0465	5.0000	8.0000	
242.4705	248.2168	2.0000	4.0000	0.7462	5.0000	8.0000	
260.2168	265.3221	1.0000	3.9184	0.1054	5.0000	8.0000	
277.2405	282.7853	1.0000	4.0000	0.5448	5.0000	8.0000	
294.7853	299.9169	3.0000	4.0000	0.1315	5.0000	8.0000	
311.9169	318.1178	3.0000	0.3409	1.2009	5.0000	8.0000	
326.4587	332.2049	4.0000	4.0000	0.7462	5.0000	8.0000	
344.2049	349.6976	6.0000	3.4686	0.4926	5.0000	8.0000	
361.1662	366.2126	3.0000	4.0000	0.0465	5.0000	8.0000	
378.2126	383.4273	4.0000	4.0000	0.2146	5.0000	8.0000	
395.4273	400.5326	4.0000	4.0000	0.1054	5.0000	8.0000	
412.5326	417.9235	5.0000	0.0362	0.3909	5.0000	8.0000	
425.9597	431.8088	1.0000	4.0000	0.8492	5.0000	8.0000	
443.8088	448.9004	3.0000	4.0000	0.0916	5.0000	8.0000	
460.9004	466.7185	6.0000	0.0816	0.8180	5.0000	8.0000	
474.8001	481.8001	3.0000	4.0000	2.0000	5.0000	8.0000	
493.8001	499.8432	1.0000	1.1388	1.0430	5.0000	8.0000	
508.9820	514.3939	4.0000	3.9184	0.4119	5.0000	8.0000	
526.3123	531.4176	6.0000	4.0000	0.1054	5.0000	8.0000	
543.4176	549.6186	2.0000	2.0407	1.2009	5.0000	8.0000	
559.6593	565.2041	2.0000	1.1388	0.5448	5.0000	8.0000	
574.3429	579.4745	6.0000	4.0000	0.1315	5.0000	8.0000	

