,trial_order,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version,ISI1,ISI2
0,0,066-mg066,med,high,h026.png,16,4,vicarious,99,mg066*M.mp4,mg066t2aaunaff_M.mp4,4,3.6,0.0
1,1,048-aa048,low,high,h047.png,10,2,vicarious,99,aa048*L.mp4,aa048t2aaunaff_L.mp4,4,4.1,0.0
2,2,120-kz120,low,high,h051.png,0,2,vicarious,99,kz120*L.mp4,kz120t2aaunaff_L.mp4,4,1.1,0.0
3,3,066-mg066,high,high,h048.png,24,6,vicarious,99,mg066*H.mp4,mg066t1aaaff_H.mp4,4,1.4,0.0
4,4,109-ib109,med,low,l024.png,15,3,vicarious,99,ib109*M.mp4,ib109t1afaff_M.mp4,4,2.4,0.0
5,5,052-dr052,high,low,l003.png,31,5,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4,4,1.3,0.0
6,6,123-jh123,med,high,h018.png,20,4,vicarious,99,jh123*M.mp4,jh123t2aaaff_M.mp4,4,2.0,0.0
7,7,106-nm106,low,low,l001.png,7,1,vicarious,99,nm106*L.mp4,nm106t1aaunaff_L.mp4,4,1.6,0.0
8,8,097-gf097,low,low,l050.png,1,1,vicarious,99,gf097*L.mp4,gf097t2aiunaff_L.mp4,4,1.3,0.0
9,9,123-jh123,high,low,l029.png,25,5,vicarious,99,jh123*H.mp4,jh123t1aeaff_H.mp4,4,1.3,0.0
10,10,066-mg066,low,low,l056.png,5,1,vicarious,99,mg066*L.mp4,mg066t2aeunaff_L.mp4,4,1.3,0.0
11,11,109-ib109,low,high,h013.png,4,2,vicarious,99,ib109*L.mp4,ib109t1aiunaff_L.mp4,4,2.3,0.0
12,12,047-jl047,med,low,l009.png,23,3,vicarious,99,jl047*M.mp4,jl047t1aiunaff_M.mp4,4,4.1,0.0
13,13,097-gf097,high,low,l045.png,27,5,vicarious,99,gf097*H.mp4,gf097t2aaunaff_H.mp4,4,2.3,0.0
14,14,096-bg096,high,high,h035.png,26,6,vicarious,99,bg096*H.mp4,bg096t1aeaff_H.mp4,4,2.3,0.0
15,15,107-hs107,low,low,l041.png,3,1,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4,4,1.3,0.0
16,16,048-aa048,med,low,l008.png,21,3,vicarious,99,aa048*M.mp4,aa048t2afunaff_M.mp4,4,1.5,0.0
17,17,097-gf097,med,high,h020.png,18,4,vicarious,99,gf097*M.mp4,gf097t1aiaff_M.mp4,4,2.0,0.0
18,18,107-hs107,med,high,h007.png,22,4,vicarious,99,hs107*M.mp4,hs107t2aaaff_M.mp4,4,1.4,0.0
19,19,106-nm106,med,low,l013.png,17,3,vicarious,99,nm106*M.mp4,nm106t2aaunaff_M.mp4,4,2.0,0.0
20,20,052-dr052,low,high,h053.png,2,2,vicarious,99,dr052*L.mp4,dr052t1aeunaff_L.mp4,4,3.3,0.0
21,21,049-bm049,low,high,h049.png,8,2,vicarious,99,bm049*L.mp4,bm049t1afaff_L.mp4,4,1.5,0.0
22,22,109-ib109,high,high,h045.png,32,6,vicarious,99,ib109*H.mp4,ib109t1aiaff_H.mp4,4,2.4,0.0
23,23,096-bg096,med,low,l012.png,19,3,vicarious,99,bg096*M.mp4,bg096t2aaaff_M.mp4,4,2.4,0.0
24,24,047-jl047,low,high,h008.png,6,2,vicarious,99,jl047*L.mp4,jl047t1aaunaff_L.mp4,4,1.3,0.0
25,25,049-bm049,med,high,h005.png,14,4,vicarious,99,bm049*M.mp4,bm049t2aeaff_M.mp4,4,1.5,0.0
26,26,049-bm049,high,high,h006.png,34,6,vicarious,99,bm049*H.mp4,bm049t2aeunaff_H.mp4,4,2.0,0.0
27,27,120-kz120,high,low,l038.png,33,5,vicarious,99,kz120*H.mp4,kz120t2aaaff_H.mp4,4,2.4,0.0
28,28,048-aa048,high,low,l036.png,29,5,vicarious,99,aa048*H.mp4,aa048t2aeaff_H.mp4,4,2.3,0.0
29,29,106-nm106,high,high,h055.png,30,6,vicarious,99,nm106*H.mp4,nm106t1afaff_H.mp4,4,1.6,0.0
30,30,047-jl047,high,low,l033.png,35,5,vicarious,99,jl047*H.mp4,jl047t1aiaff_H.mp4,4,1.5,0.0
31,31,120-kz120,med,high,h010.png,12,4,vicarious,99,kz120*M.mp4,kz120t2aeaff_M.mp4,4,1.5,0.0
32,32,096-bg096,low,low,l026.png,11,1,vicarious,99,bg096*L.mp4,bg096t2afunaff_L.mp4,4,1.9,0.0
33,33,052-dr052,med,low,l023.png,13,3,vicarious,99,dr052*M.mp4,dr052t2aaaff_M.mp4,4,2.5,0.0
34,34,107-hs107,high,high,h025.png,28,6,vicarious,99,hs107*H.mp4,hs107t1afaff_H.mp4,4,1.2,0.0
35,35,123-jh123,low,low,l047.png,9,1,vicarious,99,jh123*L.mp4,jh123t1aaunaff_L.mp4,4,1.5,0.0
