Event1 onset	Event2 onset	Trial type	ISI1	ISI2	Event1Dur	Event2Dur	
0.0000	5.4929	5.0000	1.9707	0.4929	5.0000	8.0000	
15.4636	21.4398	4.0000	3.7341	0.9762	5.0000	8.0000	
33.1739	39.6640	6.0000	3.3010	1.4901	5.0000	8.0000	
50.9649	56.4453	2.0000	1.0868	0.4804	5.0000	8.0000	
65.5322	70.7756	2.0000	0.8481	0.2434	5.0000	8.0000	
79.6237	84.9804	5.0000	4.0000	0.3566	5.0000	8.0000	
96.9804	102.4277	3.0000	3.1774	0.4473	5.0000	8.0000	
113.6051	118.9739	2.0000	2.8226	0.3689	5.0000	8.0000	
129.7965	134.9275	1.0000	1.6191	0.1310	5.0000	8.0000	
144.5466	149.9164	3.0000	4.0000	0.3698	5.0000	8.0000	
161.9164	167.7679	6.0000	1.9707	0.8515	5.0000	8.0000	
177.7386	183.4777	1.0000	1.7339	0.7391	5.0000	8.0000	
193.2116	198.7423	4.0000	2.7232	0.5307	5.0000	8.0000	
209.4655	214.5546	1.0000	4.0000	0.0890	5.0000	8.0000	
226.5546	232.4061	2.0000	1.8542	0.8515	5.0000	8.0000	
242.2603	247.9994	4.0000	1.7339	0.7391	5.0000	8.0000	
257.7333	262.9641	6.0000	4.0000	0.2308	5.0000	8.0000	
274.9641	280.4948	3.0000	4.0000	0.5307	5.0000	8.0000	
292.4948	298.3464	4.0000	4.0000	0.8515	5.0000	8.0000	
310.3464	315.4544	2.0000	3.3010	0.1080	5.0000	8.0000	
326.7553	332.6204	3.0000	4.0000	0.8650	5.0000	8.0000	
344.6204	350.4597	1.0000	3.8822	0.8393	5.0000	8.0000	
362.3419	368.3181	3.0000	3.7341	0.9762	5.0000	8.0000	
380.0521	385.8915	3.0000	4.0000	0.8393	5.0000	8.0000	
397.8915	403.2481	4.0000	4.0000	0.3566	5.0000	8.0000	
415.2481	420.9872	2.0000	1.9707	0.7391	5.0000	8.0000	
430.9579	437.0345	5.0000	4.0000	1.0766	5.0000	8.0000	
449.0345	454.8996	6.0000	4.0000	0.8650	5.0000	8.0000	
466.8996	472.2508	1.0000	2.1795	0.3512	5.0000	8.0000	
482.4302	489.4302	6.0000	0.3833	2.0000	5.0000	8.0000	
497.8136	503.5654	4.0000	0.7512	0.7518	5.0000	8.0000	
512.3166	518.2519	1.0000	2.8226	0.9353	5.0000	8.0000	
529.0745	534.1435	5.0000	4.0000	0.0690	5.0000	8.0000	
546.1435	551.8826	5.0000	4.0000	0.7391	5.0000	8.0000	
563.8826	570.3997	6.0000	2.1795	1.5172	5.0000	8.0000	
580.5792	585.9490	5.0000	3.8822	0.3698	5.0000	8.0000	

