Event1 onset	Event2 onset	Trial type	ISI1	ISI2	Event1Dur	Event2Dur	
0.0000	5.0000	1.0000	1.8017	0.0000	5.0000	11.5000	
18.3017	23.3017	3.0000	2.5266	0.0000	5.0000	11.5000	
37.3283	42.3283	3.0000	1.0170	0.0000	5.0000	11.5000	
54.8454	59.8454	4.0000	1.0258	0.0000	5.0000	11.5000	
72.3712	77.3712	1.0000	1.8254	0.0000	5.0000	11.5000	
90.6966	95.6966	3.0000	2.1979	0.0000	5.0000	11.5000	
109.3945	114.3945	3.0000	2.0912	0.0000	5.0000	11.5000	
127.9857	132.9857	6.0000	3.8299	0.0000	5.0000	11.5000	
148.3157	153.3157	6.0000	1.1276	0.0000	5.0000	11.5000	
165.9433	170.9433	5.0000	4.0000	0.0000	5.0000	11.5000	
186.4433	191.4433	2.0000	2.4506	0.0000	5.0000	11.5000	
205.3940	210.3940	2.0000	2.1274	0.0000	5.0000	11.5000	
224.0214	229.0214	1.0000	1.5366	0.0000	5.0000	11.5000	
242.0579	247.0579	6.0000	2.5266	0.0000	5.0000	11.5000	
261.0846	266.0846	1.0000	1.2295	0.0000	5.0000	11.5000	
278.8141	283.8141	4.0000	1.1428	0.0000	5.0000	11.5000	
296.4569	301.4569	2.0000	1.6120	0.0000	5.0000	11.5000	
314.5689	319.5689	3.0000	1.0258	0.0000	5.0000	11.5000	
332.0948	337.0948	4.0000	1.0628	0.0000	5.0000	11.5000	
349.6576	354.6576	4.0000	2.0912	0.0000	5.0000	11.5000	
368.2488	373.2488	1.0000	1.8168	0.0000	5.0000	11.5000	
386.5656	391.5656	1.0000	2.4506	0.0000	5.0000	11.5000	
405.5162	410.5162	5.0000	1.1428	0.0000	5.0000	11.5000	
423.1591	428.1591	5.0000	4.0000	0.0000	5.0000	11.5000	
443.6591	448.6591	5.0000	2.7878	0.0000	5.0000	11.5000	
462.9468	467.9468	6.0000	2.2700	0.0000	5.0000	11.5000	
481.7168	486.7168	4.0000	1.4028	0.0000	5.0000	11.5000	
499.6196	504.6196	4.0000	4.0000	0.0000	5.0000	11.5000	
520.1196	525.1196	3.0000	1.2295	0.0000	5.0000	11.5000	
537.8491	542.8491	5.0000	1.0683	0.0000	5.0000	11.5000	
555.4174	560.4174	5.0000	1.0628	0.0000	5.0000	11.5000	
572.9802	577.9802	2.0000	1.4823	0.0000	5.0000	11.5000	
590.9625	595.9625	2.0000	2.2700	0.0000	5.0000	11.5000	
609.7325	614.7325	2.0000	1.5366	0.0000	5.0000	11.5000	
627.7691	632.7691	6.0000	1.5366	0.0000	5.0000	11.5000	
645.8057	650.8057	6.0000	1.6120	0.0000	5.0000	11.5000	

