Event1 onset	Event2 onset	Trial type	ISI1	ISI2	Event1Dur	Event2Dur	
0.0000	6.0658	3.0000	6.0000	1.0658	5.0000	10.5000	
22.5658	28.1917	2.0000	6.0000	0.6259	5.0000	10.5000	
44.6917	50.2119	6.0000	1.0635	0.5202	5.0000	10.5000	
61.7754	67.3954	6.0000	2.6776	0.6200	5.0000	10.5000	
80.5730	86.5845	2.0000	1.7906	1.0115	5.0000	10.5000	
98.8751	104.4833	2.0000	2.6776	0.6082	5.0000	10.5000	
117.6609	123.7044	5.0000	1.9305	1.0435	5.0000	10.5000	
136.1349	141.6681	6.0000	3.9410	0.5332	5.0000	10.5000	
156.1091	161.8977	4.0000	3.9707	0.7886	5.0000	10.5000	
176.3684	181.8885	3.0000	1.7122	0.5202	5.0000	10.5000	
194.1008	199.8762	2.0000	1.0033	0.7754	5.0000	10.5000	
211.3794	217.5103	6.0000	2.4287	1.1308	5.0000	10.5000	
230.4389	236.5449	1.0000	2.4287	1.1060	5.0000	10.5000	
249.4736	255.5498	1.0000	2.6776	1.0762	5.0000	10.5000	
268.7274	274.5160	5.0000	1.7122	0.7886	5.0000	10.5000	
286.7282	292.8343	6.0000	2.0428	1.1060	5.0000	10.5000	
305.3771	311.3886	3.0000	1.7927	1.0115	5.0000	10.5000	
323.6813	329.5201	2.0000	1.5338	0.8388	5.0000	10.5000	
341.5539	347.3754	5.0000	1.7774	0.8215	5.0000	10.5000	
359.6528	365.2680	1.0000	3.7180	0.6151	5.0000	10.5000	
379.4860	385.2614	6.0000	6.0000	0.7754	5.0000	10.5000	
401.7614	407.7729	4.0000	6.0000	1.0115	5.0000	10.5000	
424.2729	429.8062	4.0000	2.5152	0.5332	5.0000	10.5000	
442.8213	449.8412	2.0000	2.1176	2.0198	5.0000	10.5000	
462.4587	469.4786	5.0000	4.3465	2.0198	5.0000	10.5000	
484.3251	490.0490	5.0000	6.0000	0.7239	5.0000	10.5000	
506.5490	512.1749	1.0000	1.4574	0.6259	5.0000	10.5000	
524.1323	530.4298	1.0000	2.1403	1.2975	5.0000	10.5000	
543.0701	549.2184	1.0000	1.5338	1.1483	5.0000	10.5000	
561.2522	570.2522	3.0000	1.4652	4.0000	5.0000	10.5000	
582.2174	588.3235	4.0000	5.1218	1.1060	5.0000	10.5000	
603.9453	609.7207	4.0000	3.7180	0.7754	5.0000	10.5000	
623.9387	629.5647	4.0000	2.6776	0.6259	5.0000	10.5000	
642.7423	648.5696	5.0000	1.3317	0.8273	5.0000	10.5000	
660.4014	666.7645	3.0000	1.7906	1.3632	5.0000	10.5000	
679.0551	684.6751	3.0000	2.8932	0.6200	5.0000	10.5000	

