Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	4.1263	9.9439	19.7054	5.0000	3.1263	1.8176	0.7615	1.8052	1.0000	4.0000	9.0000	4.0000	
25.5106	31.0699	37.3361	47.6633	4.0000	4.5593	2.2663	1.3272	0.8354	1.0000	4.0000	9.0000	4.0000	
52.4987	58.0580	65.2137	79.5791	2.0000	4.5593	3.1558	5.3653	3.0676	1.0000	4.0000	9.0000	4.0000	
86.6466	92.2059	99.3617	109.6888	6.0000	4.5593	3.1558	1.3272	2.6513	1.0000	4.0000	9.0000	4.0000	
116.3401	119.9507	141.0659	152.9315	6.0000	2.6106	17.1152	2.8656	3.0676	1.0000	4.0000	9.0000	4.0000	
159.9991	162.8029	169.9587	180.2858	3.0000	1.8038	3.1558	1.3272	2.0446	1.0000	4.0000	9.0000	4.0000	
186.3305	190.3744	203.1913	217.5566	5.0000	3.0439	8.8169	5.3653	3.0676	1.0000	4.0000	9.0000	4.0000	
224.6242	227.9864	233.5096	243.7108	4.0000	2.3622	1.5232	1.2012	1.8052	1.0000	4.0000	9.0000	4.0000	
249.5160	253.2877	259.1053	278.0976	3.0000	2.7718	1.8176	9.9923	1.8052	1.0000	4.0000	9.0000	4.0000	
283.9028	289.4620	298.8639	310.7294	1.0000	4.5593	5.4019	2.8656	0.7969	1.0000	4.0000	9.0000	4.0000	
315.5264	318.1357	339.2510	349.5781	1.0000	1.6094	17.1152	1.3272	4.6744	1.0000	4.0000	9.0000	4.0000	
358.2526	361.6148	366.6811	378.5467	2.0000	2.3622	1.0664	2.8656	0.7969	1.0000	4.0000	9.0000	4.0000	

