Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	6.9877	12.8011	23.0703	6.0000	5.9877	1.8133	1.2692	2.9482	1.0000	4.0000	9.0000	4.0000	
30.0185	36.0989	44.9812	58.0861	1.0000	5.0804	4.8823	4.1049	1.1972	1.0000	4.0000	9.0000	4.0000	
63.2833	70.1369	75.7131	87.6990	5.0000	5.8536	1.5762	2.9858	1.1972	1.0000	4.0000	9.0000	4.0000	
92.8961	94.4120	102.6506	117.0276	6.0000	0.5159	4.2386	5.3770	2.4978	1.0000	4.0000	9.0000	4.0000	
123.5254	128.5057	136.7443	157.0197	2.0000	3.9803	4.2386	11.2754	2.4978	1.0000	4.0000	9.0000	4.0000	
163.5175	165.6712	174.5946	190.8454	5.0000	1.1537	4.9234	7.2508	2.2810	1.0000	4.0000	9.0000	4.0000	
197.1264	204.1142	214.5072	228.8462	1.0000	5.9877	6.3930	5.3390	1.1128	1.0000	4.0000	9.0000	4.0000	
233.9590	235.4749	246.3852	266.6606	3.0000	0.5159	6.9103	11.2754	4.9251	1.0000	4.0000	9.0000	4.0000	
275.5856	278.2811	283.8392	294.0574	4.0000	1.6954	1.5582	1.2182	2.2810	1.0000	4.0000	9.0000	4.0000	
300.3385	307.1921	312.7502	329.0010	3.0000	5.8536	1.5582	7.2508	1.1972	1.0000	4.0000	9.0000	4.0000	
334.1982	341.0518	346.8652	361.2421	4.0000	5.8536	1.8133	5.3770	12.3640	1.0000	4.0000	9.0000	4.0000	
377.6062	383.7172	389.8087	402.9136	2.0000	5.1110	2.0915	4.1049	15.5362	1.0000	4.0000	9.0000	4.0000	

