Event1 onset	Event2 onset	Trial type	ISI1	ISI2	Event1Dur	Event2Dur	
0.0000	5.5239	4.0000	4.0000	0.5239	5.0000	8.0000	
17.5239	24.5239	4.0000	2.5219	2.0000	5.0000	8.0000	
35.0458	40.6651	1.0000	3.5716	0.6193	5.0000	8.0000	
52.2367	58.3287	6.0000	3.0544	1.0920	5.0000	8.0000	
69.3832	74.9071	6.0000	0.4865	0.5239	5.0000	8.0000	
83.3935	89.4220	6.0000	3.2397	1.0284	5.0000	8.0000	
100.6616	106.6933	2.0000	4.0000	1.0317	5.0000	8.0000	
118.6933	124.2768	1.0000	4.0000	0.5834	5.0000	8.0000	
136.2768	142.7004	4.0000	3.5716	1.4237	5.0000	8.0000	
154.2720	160.0006	3.0000	1.3620	0.7286	5.0000	8.0000	
169.3626	175.2609	5.0000	2.6755	0.8982	5.0000	8.0000	
185.9364	191.5963	3.0000	0.4865	0.6599	5.0000	8.0000	
200.0828	206.7248	5.0000	3.5716	1.6420	5.0000	8.0000	
218.2964	223.4931	1.0000	3.2141	0.1967	5.0000	8.0000	
234.7072	240.7357	1.0000	1.8074	1.0284	5.0000	8.0000	
250.5431	255.7317	4.0000	4.0000	0.1887	5.0000	8.0000	
267.7317	272.8544	4.0000	4.0000	0.1227	5.0000	8.0000	
284.8544	289.9806	3.0000	1.0681	0.1262	5.0000	8.0000	
299.0487	304.3959	4.0000	4.0000	0.3472	5.0000	8.0000	
316.3959	323.3959	6.0000	4.0000	2.0000	5.0000	8.0000	
335.3959	342.0436	6.0000	4.0000	1.6476	5.0000	8.0000	
354.0436	359.5528	2.0000	4.0000	0.5092	5.0000	8.0000	
371.5528	377.1977	5.0000	4.0000	0.6449	5.0000	8.0000	
389.1977	396.1977	2.0000	4.0000	2.0000	5.0000	8.0000	
408.1977	414.0152	6.0000	2.6462	0.8175	5.0000	8.0000	
424.6614	429.7077	3.0000	2.6462	0.0463	5.0000	8.0000	
440.3539	445.8631	5.0000	1.4638	0.5092	5.0000	8.0000	
455.3269	460.5084	5.0000	4.0000	0.1815	5.0000	8.0000	
472.5084	479.1561	5.0000	0.2293	1.6476	5.0000	8.0000	
487.3853	493.6673	1.0000	4.0000	1.2820	5.0000	8.0000	
505.6673	511.6575	2.0000	1.8074	0.9901	5.0000	8.0000	
521.4649	527.8589	3.0000	0.8892	1.3940	5.0000	8.0000	
536.7481	542.0953	1.0000	4.0000	0.3472	5.0000	8.0000	
554.0953	560.3773	2.0000	4.0000	1.2820	5.0000	8.0000	
572.3773	578.3746	3.0000	1.8074	0.9973	5.0000	8.0000	
588.1820	594.8296	2.0000	1.0681	1.6476	5.0000	8.0000	

