Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.5686,6.0,1.4,0.6,5.0,8.0
16.0701,21.6541,6.0,4.0,0.6,5.0,8.0
33.6541,39.4839,3.0,2.8,0.8,5.0,8.0
50.3089,55.5794,5.0,0.4,0.3,5.0,8.0
63.9451,69.1113,1.0,0.4,0.2,5.0,8.0
77.5396,83.7527,2.0,2.1,1.2,5.0,8.0
94.923,99.9401,3.0,0.3,0.1,5.0,8.0
108.2758,113.7035,6.0,2.9,0.4,5.0,8.0
125.7035,130.8288,4.0,0.5,0.1,5.0,8.0
139.3719,144.5381,5.0,2.5,0.2,5.0,8.0
155.0085,160.251,2.0,2.2,0.2,5.0,8.0
171.5271,178.2337,3.0,0.0,5.1,5.0,8.0
186.2728,192.0006,2.0,0.4,0.7,5.0,8.0
200.4289,206.6419,4.0,2.9,4.7,5.0,8.0
218.6419,223.9358,1.0,0.8,0.3,5.0,8.0
232.7607,237.886,5.0,2.9,0.1,5.0,8.0
249.886,255.1418,3.0,3.4,0.3,5.0,8.0
266.5666,272.2002,2.0,1.5,4.1,5.0,8.0
282.7956,287.9015,1.0,2.9,0.1,5.0,8.0
299.9015,305.3241,4.0,4.0,0.4,5.0,8.0
317.3241,323.5385,4.0,2.9,4.7,5.0,8.0
335.5385,341.0625,6.0,1.6,0.5,5.0,8.0
350.6297,355.6881,4.0,2.2,0.1,5.0,8.0
365.8775,371.4534,1.0,1.8,0.6,5.0,8.0
382.3895,387.452,2.0,0.3,0.1,5.0,8.0
395.7877,401.0816,2.0,2.9,0.3,5.0,8.0
413.0816,418.6056,1.0,1.1,0.5,5.0,8.0
428.7949,433.8533,6.0,2.1,0.1,5.0,8.0
445.0236,450.149,6.0,2.6,0.1,5.0,8.0
460.7444,466.337,4.0,1.5,0.6,5.0,8.0
476.9324,482.0714,3.0,4.0,0.1,5.0,8.0
494.0714,499.7992,5.0,1.8,4.2,5.0,8.0
510.7352,516.9497,5.0,0.1,1.2,5.0,8.0
525.0015,530.5017,5.0,4.0,0.5,5.0,8.0
542.5017,547.7722,3.0,4.0,0.3,5.0,8.0
559.7722,566.4789,1.0,0.5,1.7,5.0,8.0
