,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version
0,44,50,different,low,l043.png,9,1,cognitive,99,1,44_50_R.jpg,1
1,8,50,different,high,h042.png,8,2,cognitive,99,1,8_50_R.jpg,1
2,8,100,same,low,l009.png,13,3,cognitive,99,1,8_100.jpg,1
3,44,150,same,low,l016.png,27,5,cognitive,99,1,44_150.jpg,1
4,32,50,different,low,l030.png,11,1,cognitive,99,1,32_50_R.jpg,1
5,44,100,same,low,l036.png,15,3,cognitive,99,1,44_100.jpg,1
6,39,150,different,high,h005.png,34,6,cognitive,99,1,39_150_R.jpg,1
7,9,50,same,high,h009.png,2,2,cognitive,99,1,9_50.jpg,1
8,9,150,different,high,h051.png,32,6,cognitive,99,1,9_150_R.jpg,1
9,2,100,same,high,h024.png,16,4,cognitive,99,1,2_100.jpg,1
10,32,150,different,high,h001.png,30,6,cognitive,99,1,32_150_R.jpg,1
11,19,50,different,low,l046.png,7,1,cognitive,99,1,19_50_R.jpg,1
12,13,100,same,low,l053.png,17,3,cognitive,99,1,13_100.jpg,1
13,13,150,different,low,l015.png,33,5,cognitive,99,1,13_150_R.jpg,1
14,31,50,same,high,h004.png,4,2,cognitive,99,1,31_50.jpg,1
15,18,100,same,high,h049.png,14,4,cognitive,99,1,18_100.jpg,1
16,32,100,different,low,l010.png,21,3,cognitive,99,1,32_100_R.jpg,1
17,19,150,same,high,h043.png,24,6,cognitive,99,1,19_150.jpg,1
18,2,50,same,low,l032.png,3,1,cognitive,99,1,2_50.jpg,1
19,9,100,different,low,l026.png,19,3,cognitive,99,1,9_100_R.jpg,1
20,12,100,same,high,h032.png,12,4,cognitive,99,1,12_100.jpg,1
21,12,150,different,low,l034.png,31,5,cognitive,99,1,12_150_R.jpg,1
22,13,50,different,high,h033.png,10,2,cognitive,99,1,13_50_R.jpg,1
23,18,150,same,high,h018.png,26,6,cognitive,99,1,18_150.jpg,1
24,19,100,different,high,h034.png,22,4,cognitive,99,1,19_100_R.jpg,1
25,27,100,different,high,h020.png,20,4,cognitive,99,1,27_100_R.jpg,1
26,27,150,same,low,l001.png,29,5,cognitive,99,1,27_150.jpg,1
27,31,100,different,high,h031.png,18,4,cognitive,99,1,31_100_R.jpg,1
28,39,50,same,low,l006.png,5,1,cognitive,99,1,39_50.jpg,1
29,27,50,same,high,h040.png,0,2,cognitive,99,1,27_50.jpg,1
30,12,50,different,high,h052.png,6,2,cognitive,99,1,12_50_R.jpg,1
31,31,150,same,high,h050.png,28,6,cognitive,99,1,31_150.jpg,1
32,8,150,same,low,l008.png,25,5,cognitive,99,1,8_150.jpg,1
33,39,100,different,low,l018.png,23,3,cognitive,99,1,39_100_R.jpg,1
34,18,50,same,low,l050.png,1,1,cognitive,99,1,18_50.jpg,1
35,2,150,different,low,l013.png,35,5,cognitive,99,1,2_150_R.jpg,1
