,index,block,Trial type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename
0,0,1,6.0,high_cue,high_stim,2.9,1.0,1.6,4.0,0.6,9.0,2.0,4.0,h004.png,29,same,29_150.jpg
36,1,1,3.0,low_cue,high_stim,4.4,1.0,2.0,4.0,5.9,9.0,4.3,4.0,l009.png,27,diff,27_150_R.jpg
37,2,1,3.0,low_cue,high_stim,0.6,1.0,1.4,4.0,0.6,9.0,2.8,4.0,l050.png,34,diff,34_150_R.jpg
1,3,1,6.0,high_cue,high_stim,9.2,1.0,1.4,4.0,1.2,9.0,3.9,4.0,h043.png,43,diff,43_150_R.jpg
48,4,1,1.0,low_cue,low_stim,0.6,1.0,2.0,4.0,11.2,9.0,1.6,4.0,l005.png,27,diff,27_50_R.jpg
12,5,1,4.0,high_cue,low_stim,6.9,1.0,2.0,4.0,20.1,9.0,12.4,4.0,h037.png,17,same,17_50.jpg
60,6,1,2.0,low_cue,med_stim,6.9,1.0,1.2,4.0,3.0,9.0,3.9,4.0,l025.png,6,diff,6_100_R.jpg
24,7,1,5.0,high_cue,med_stim,7.1,1.0,1.6,4.0,1.0,9.0,4.9,4.0,h028.png,4,diff,4_100_R.jpg
25,8,1,5.0,high_cue,med_stim,5.9,1.0,0.9,4.0,1.6,9.0,2.4,4.0,h042.png,31,same,31_100.jpg
61,9,1,2.0,low_cue,med_stim,5.1,1.0,2.0,4.0,1.6,9.0,5.5,4.0,l051.png,27,diff,27_100_R.jpg
13,10,1,4.0,high_cue,low_stim,2.3,1.0,0.9,4.0,6.3,9.0,2.8,4.0,h036.png,27,same,27_50.jpg
49,11,1,1.0,low_cue,low_stim,2.3,1.0,0.9,4.0,0.8,9.0,7.7,4.0,l031.png,8,same,8_50.jpg
