,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,stim_num,same_diff
62,12,2,2.0,low_cue,med_stim,2.3,4.4,1.7,2.9,1.0,4.0,9.0,4.0,l012.png,23,diff
14,13,2,4.0,high_cue,low_stim,1.7,1.0,6.5,2.9,1.0,4.0,9.0,4.0,h025.png,39,same
38,14,2,3.0,low_cue,high_stim,2.2,6.5,6.2,0.5,1.0,4.0,9.0,4.0,l003.png,4,diff
26,15,2,5.0,high_cue,med_stim,1.3,2.2,1.2,0.5,1.0,4.0,9.0,4.0,h015.png,27,diff
63,16,2,2.0,low_cue,med_stim,1.7,2.7,6.2,12.8,1.0,4.0,9.0,4.0,l055.png,4,diff
39,17,2,3.0,low_cue,high_stim,1.3,9.1,0.8,3.2,1.0,4.0,9.0,4.0,l041.png,22,same
2,18,2,6.0,high_cue,high_stim,0.6,2.2,17.7,0.8,1.0,4.0,9.0,4.0,h003.png,33,diff
50,19,2,1.0,low_cue,low_stim,0.6,1.9,2.0,2.5,1.0,4.0,9.0,4.0,l048.png,39,diff
51,20,2,1.0,low_cue,low_stim,0.9,9.1,7.9,2.2,1.0,4.0,9.0,4.0,l010.png,27,same
15,21,2,4.0,high_cue,low_stim,2.2,1.9,1.7,12.8,1.0,4.0,9.0,4.0,h047.png,21,same
27,22,2,5.0,high_cue,med_stim,0.9,6.7,1.5,9.1,1.0,4.0,9.0,4.0,h052.png,33,diff
3,23,2,6.0,high_cue,high_stim,2.3,6.5,0.8,3.7,1.0,4.0,9.0,4.0,h020.png,39,same
