,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version
0,50,low,l052.png,35,5,pain,99,1,2
1,49,high,h050.png,20,4,pain,99,1,2
2,49,high,h015.png,16,4,pain,99,1,2
3,48,low,l023.png,3,1,pain,99,1,2
4,50,low,l046.png,33,5,pain,99,1,2
5,48,high,h010.png,0,2,pain,99,1,2
6,50,low,l011.png,25,5,pain,99,1,2
7,48,low,l002.png,9,1,pain,99,1,2
8,49,high,h011.png,22,4,pain,99,1,2
9,50,high,h041.png,28,6,pain,99,1,2
10,48,low,l025.png,11,1,pain,99,1,2
11,49,low,l018.png,15,3,pain,99,1,2
12,48,low,l007.png,7,1,pain,99,1,2
13,50,high,h004.png,26,6,pain,99,1,2
14,50,low,l049.png,29,5,pain,99,1,2
15,49,low,l038.png,23,3,pain,99,1,2
16,49,high,h031.png,12,4,pain,99,1,2
17,50,high,h047.png,24,6,pain,99,1,2
18,49,high,h006.png,18,4,pain,99,1,2
19,49,low,l005.png,19,3,pain,99,1,2
20,48,low,l021.png,5,1,pain,99,1,2
21,50,high,h053.png,32,6,pain,99,1,2
22,50,high,h014.png,34,6,pain,99,1,2
23,50,low,l017.png,31,5,pain,99,1,2
24,48,high,h034.png,2,2,pain,99,1,2
25,50,high,h003.png,30,6,pain,99,1,2
26,49,high,h027.png,14,4,pain,99,1,2
27,48,high,h001.png,8,2,pain,99,1,2
28,48,high,h026.png,6,2,pain,99,1,2
29,49,low,l012.png,17,3,pain,99,1,2
30,48,low,l014.png,1,1,pain,99,1,2
31,48,high,h024.png,10,2,pain,99,1,2
32,49,low,l042.png,21,3,pain,99,1,2
33,48,high,h023.png,4,2,pain,99,1,2
34,50,low,l032.png,27,5,pain,99,1,2
35,49,low,l040.png,13,3,pain,99,1,2
