,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,3.24,11.7305,21.3711,2.0,2.2,4.1,5.1,5.2,1.0,4.0,9.0,4.0,low_cue,med_stim,l052.png
1,30.5927,35.9274,44.0282,53.9711,4.0,1.9,4.1,0.9,3.3,1.0,4.0,9.0,4.0,high_cue,low_stim,h038.png
2,61.2407,66.5754,82.8433,92.3807,6.0,1.9,11.2,5.0,5.2,1.0,4.0,9.0,4.0,high_cue,high_stim,h006.png
3,101.6023,106.802,112.5149,122.0523,2.0,1.8,1.7,0.5,1.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l008.png
4,126.8545,128.4206,136.5046,146.1452,4.0,0.6,4.1,0.6,3.3,1.0,4.0,9.0,4.0,high_cue,low_stim,h005.png
5,152.3605,156.2896,161.3236,174.6476,3.0,1.3,1.0,8.8,7.2,1.0,4.0,9.0,4.0,low_cue,high_stim,l004.png
6,185.84599999999998,187.8443,195.3479,209.5374,1.0,1.0,3.5,5.2,3.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l014.png
7,216.80700000000002,221.0362,228.5398,240.6849,5.0,1.4,3.5,3.1,0.8,1.0,4.0,9.0,4.0,high_cue,med_stim,h040.png
8,245.4872,248.7271,254.44,269.9687,3.0,1.0,1.7,6.5,3.6,1.0,4.0,9.0,4.0,low_cue,high_stim,l039.png
9,277.5335,282.8682,291.0909,303.2856,5.0,1.9,4.2,3.2,6.3,1.0,4.0,9.0,4.0,high_cue,med_stim,h036.png
10,312.5072,317.707,325.9297,339.2537,1.0,1.8,4.2,8.8,3.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l038.png
11,345.469,349.6983,365.3507,376.0856,6.0,1.4,10.7,6.2,10.5,1.0,4.0,9.0,4.0,high_cue,high_stim,h008.png
