,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version
0,048-aa048,med,high,h021.png,12,4,vicarious,99,aa048*M.mp4,aa048t2afunaff_M.mp4,2
1,042-ll042,high,low,l047.png,33,5,vicarious,99,ll042*H.mp4,ll042t1aiaff_H.mp4,2
2,120-kz120,med,low,l012.png,15,3,vicarious,99,kz120*M.mp4,kz120t2aeaff_M.mp4,2
3,101-mg101,high,low,l027.png,35,5,vicarious,99,mg101*H.mp4,mg101t2aeaff_H.mp4,2
4,043-jh043,high,high,h032.png,28,6,vicarious,99,jh043*H.mp4,jh043t2aeaff_H.mp4,2
5,106-nm106,med,low,l025.png,13,3,vicarious,99,nm106*M.mp4,nm106t2aaunaff_M.mp4,2
6,115-jy115,high,low,l004.png,27,5,vicarious,99,jy115*H.mp4,jy115t2aaaff_H.mp4,2
7,080-bn080,high,high,h010.png,30,6,vicarious,99,bn080*H.mp4,bn080t1afaff_H.mp4,2
8,101-mg101,med,high,h024.png,22,4,vicarious,99,mg101*M.mp4,mg101t2aeunaff_M.mp4,2
9,115-jy115,med,low,l011.png,23,3,vicarious,99,jy115*M.mp4,jy115t1aeaff_M.mp4,2
10,120-kz120,low,low,l014.png,5,1,vicarious,99,kz120*L.mp4,kz120t2aaunaff_L.mp4,2
11,043-jh043,low,low,l007.png,7,1,vicarious,99,jh043*L.mp4,jh043t2aaunaff_L.mp4,2
12,080-bn080,med,low,l032.png,17,3,vicarious,99,bn080*M.mp4,bn080t1aeaff_M.mp4,2
13,101-mg101,low,low,l013.png,9,1,vicarious,99,mg101*L.mp4,mg101t2afunaff_L.mp4,2
14,097-gf097,low,high,h054.png,2,2,vicarious,99,gf097*L.mp4,gf097t2aiunaff_L.mp4,2
15,066-mg066,high,high,h050.png,26,6,vicarious,99,mg066*H.mp4,mg066t1aaaff_H.mp4,2
16,052-dr052,low,high,h017.png,8,2,vicarious,99,dr052*L.mp4,dr052t1aeunaff_L.mp4,2
17,043-jh043,med,high,h009.png,20,4,vicarious,99,jh043*M.mp4,jh043t2aeunaff_M.mp4,2
18,066-mg066,low,low,l048.png,1,1,vicarious,99,mg066*L.mp4,mg066t2aeunaff_L.mp4,2
19,066-mg066,med,high,h027.png,16,4,vicarious,99,mg066*M.mp4,mg066t2aaunaff_M.mp4,2
20,052-dr052,med,low,l009.png,19,3,vicarious,99,dr052*M.mp4,dr052t2aaaff_M.mp4,2
21,042-ll042,low,low,l045.png,3,1,vicarious,99,ll042*L.mp4,ll042t1aaunaff_L.mp4,2
22,106-nm106,low,high,h056.png,6,2,vicarious,99,nm106*L.mp4,nm106t1aaunaff_L.mp4,2
23,109-ib109,high,high,h041.png,34,6,vicarious,99,ib109*H.mp4,ib109t1aiaff_H.mp4,2
24,097-gf097,high,low,l022.png,31,5,vicarious,99,gf097*H.mp4,gf097t2aaunaff_H.mp4,2
25,048-aa048,high,low,l052.png,29,5,vicarious,99,aa048*H.mp4,aa048t2aeaff_H.mp4,2
26,080-bn080,low,high,h004.png,10,2,vicarious,99,bn080*L.mp4,bn080t1afunaff_L.mp4,2
27,109-ib109,low,high,h045.png,4,2,vicarious,99,ib109*L.mp4,ib109t1aiunaff_L.mp4,2
28,052-dr052,high,low,l041.png,25,5,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4,2
29,048-aa048,low,high,h029.png,0,2,vicarious,99,aa048*L.mp4,aa048t2aaunaff_L.mp4,2
30,097-gf097,med,high,h016.png,18,4,vicarious,99,gf097*M.mp4,gf097t1aiaff_M.mp4,2
31,120-kz120,high,high,h042.png,32,6,vicarious,99,kz120*H.mp4,kz120t2aaaff_H.mp4,2
32,109-ib109,med,high,h035.png,14,4,vicarious,99,ib109*M.mp4,ib109t1afaff_M.mp4,2
33,042-ll042,med,low,l019.png,21,3,vicarious,99,ll042*M.mp4,ll042t1afunaff_M.mp4,2
34,106-nm106,high,high,h025.png,24,6,vicarious,99,nm106*H.mp4,nm106t1afaff_H.mp4,2
35,115-jy115,low,low,l050.png,11,1,vicarious,99,jy115*L.mp4,jy115t1aaunaff_L.mp4,2
