,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
0,0,1,2.0,low_cue,med_stim,2.2,4.1,5.1,5.2,1.0,4.0,9.0,4.0,l044.png,043-jh043,jh043*M.mp4,jh043t2aeunaff_M.mp4
1,1,1,4.0,high_cue,low_stim,1.9,4.1,0.9,3.3,1.0,4.0,9.0,4.0,h032.png,043-jh043,jh043*L.mp4,jh043t2aaunaff_L.mp4
2,2,1,6.0,high_cue,high_stim,1.9,11.2,5.0,5.2,1.0,4.0,9.0,4.0,h015.png,121-vw121,vw121*H.mp4,vw121t1aaaff_H.mp4
3,3,1,2.0,low_cue,med_stim,1.8,1.7,0.5,1.9,1.0,4.0,9.0,4.0,l036.png,121-vw121,vw121*M.mp4,vw121t1aiaff_M.mp4
4,4,1,4.0,high_cue,low_stim,0.6,4.1,0.6,3.3,1.0,4.0,9.0,4.0,h022.png,107-hs107,hs107*L.mp4,hs107t2aeunaff_L.mp4
5,5,1,3.0,low_cue,high_stim,1.3,1.0,8.8,7.2,1.0,4.0,9.0,4.0,l052.png,107-hs107,hs107*H.mp4,hs107t1afaff_H.mp4
6,6,1,1.0,low_cue,low_stim,1.0,3.5,5.2,3.3,1.0,4.0,9.0,4.0,l013.png,124-dn124,dn124*L.mp4,dn124t1aaunaff_L.mp4
7,7,1,5.0,high_cue,med_stim,1.4,3.5,3.1,0.8,1.0,4.0,9.0,4.0,h010.png,064-ak064,ak064*M.mp4,ak064t1aiaff_M.mp4
8,8,1,3.0,low_cue,high_stim,1.0,1.7,6.5,3.6,1.0,4.0,9.0,4.0,l025.png,043-jh043,jh043*H.mp4,jh043t2aeaff_H.mp4
9,9,1,5.0,high_cue,med_stim,1.9,4.2,3.2,6.3,1.0,4.0,9.0,4.0,h033.png,107-hs107,hs107*M.mp4,hs107t2aaaff_M.mp4
10,10,1,1.0,low_cue,low_stim,1.8,4.2,8.8,3.3,1.0,4.0,9.0,4.0,l005.png,120-kz120,kz120*L.mp4,kz120t2aaunaff_L.mp4
11,11,1,6.0,high_cue,high_stim,1.4,10.7,6.2,10.5,1.0,4.0,9.0,4.0,h044.png,123-jh123,jh123*H.mp4,jh123t1aeaff_H.mp4
