,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename
0,080-bn080,low,high,h006.png,0,2,vicarious,99,bn080*L.mp4,bn080t1afunaff_L.mp4
1,095-tv095,low,low,l049.png,1,1,vicarious,99,tv095*L.mp4,tv095t2aeunaff_L.mp4
2,097-gf097,low,high,h012.png,2,2,vicarious,99,gf097*L.mp4,gf097t2aiunaff_L.mp4
3,107-hs107,low,low,l048.png,3,1,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4
4,096-bg096,low,high,h013.png,4,2,vicarious,99,bg096*L.mp4,bg096t2afunaff_L.mp4
5,049-bm049,low,low,l029.png,5,1,vicarious,99,bm049*L.mp4,bm049t1afaff_L.mp4
6,121-vw121,low,high,h007.png,6,2,vicarious,99,vw121*L.mp4,vw121t1aeaff_L.mp4
7,101-mg101,low,low,l001.png,7,1,vicarious,99,mg101*L.mp4,mg101t2afunaff_L.mp4
8,115-jy115,low,high,h039.png,8,2,vicarious,99,jy115*L.mp4,jy115t1aaunaff_L.mp4
9,123-jh123,low,low,l015.png,9,1,vicarious,99,jh123*L.mp4,jh123t1aaunaff_L.mp4
10,048-aa048,low,high,h011.png,10,2,vicarious,99,aa048*L.mp4,aa048t2aaunaff_L.mp4
11,052-dr052,low,low,l014.png,11,1,vicarious,99,dr052*L.mp4,dr052t1aeunaff_L.mp4
12,048-aa048,med,high,h005.png,12,4,vicarious,99,aa048*M.mp4,aa048t2afunaff_M.mp4
13,052-dr052,med,low,l028.png,13,3,vicarious,99,dr052*M.mp4,dr052t2aaaff_M.mp4
14,097-gf097,med,high,h004.png,14,4,vicarious,99,gf097*M.mp4,gf097t1aiaff_M.mp4
15,121-vw121,med,low,l016.png,15,3,vicarious,99,vw121*M.mp4,vw121t1aiaff_M.mp4
16,080-bn080,med,high,h010.png,16,4,vicarious,99,bn080*M.mp4,bn080t1aeaff_M.mp4
17,049-bm049,med,low,l002.png,17,3,vicarious,99,bm049*M.mp4,bm049t2aeaff_M.mp4
18,123-jh123,med,high,h038.png,18,4,vicarious,99,jh123*M.mp4,jh123t2aaaff_M.mp4
19,095-tv095,med,low,l003.png,19,3,vicarious,99,tv095*M.mp4,tv095t2afaff_M.mp4
20,115-jy115,med,high,h014.png,20,4,vicarious,99,jy115*M.mp4,jy115t1aeaff_M.mp4
21,107-hs107,med,low,l017.png,21,3,vicarious,99,hs107*M.mp4,hs107t2aaaff_M.mp4
22,101-mg101,med,high,h028.png,22,4,vicarious,99,mg101*M.mp4,mg101t2aeunaff_M.mp4
23,096-bg096,med,low,l013.png,23,3,vicarious,99,bg096*M.mp4,bg096t2aaaff_M.mp4
24,095-tv095,high,high,h029.png,24,6,vicarious,99,tv095*H.mp4,tv095t1afaff_H.mp4
25,107-hs107,high,low,l007.png,25,5,vicarious,99,hs107*H.mp4,hs107t1afaff_H.mp4
26,101-mg101,high,high,h001.png,26,6,vicarious,99,mg101*H.mp4,mg101t2aeaff_H.mp4
27,123-jh123,high,low,l006.png,27,5,vicarious,99,jh123*H.mp4,jh123t1aeaff_H.mp4
28,115-jy115,high,high,h015.png,28,6,vicarious,99,jy115*H.mp4,jy115t2aaaff_H.mp4
29,049-bm049,high,low,l012.png,29,5,vicarious,99,bm049*H.mp4,bm049t2aeunaff_H.mp4
30,048-aa048,high,high,h003.png,30,6,vicarious,99,aa048*H.mp4,aa048t2aeaff_H.mp4
31,052-dr052,high,low,l004.png,31,5,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4
32,080-bn080,high,high,h017.png,32,6,vicarious,99,bn080*H.mp4,bn080t1afaff_H.mp4
33,097-gf097,high,low,l010.png,33,5,vicarious,99,gf097*H.mp4,gf097t2aaunaff_H.mp4
34,121-vw121,high,high,h016.png,34,6,vicarious,99,vw121*H.mp4,vw121t1aaaff_H.mp4
35,096-bg096,high,low,l038.png,35,5,vicarious,99,bg096*H.mp4,bg096t1aeaff_H.mp4
