,Unnamed: 0,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,stim_num,same_diff,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,66,36,4,2.0,low_cue,med_stim,2.2,4.1,5.1,5.2,1.0,4.0,9.0,4.0,l042.png,36,same,5.2,6.2,8.4,12.4,16.5,25.5,30.6,34.6
1,18,37,4,4.0,high_cue,low_stim,1.9,4.1,0.9,3.3,1.0,4.0,9.0,4.0,h008.png,15,same,37.9,38.9,40.8,44.8,48.9,57.9,58.8,62.8
2,6,38,4,6.0,high_cue,high_stim,1.9,11.2,5.0,5.2,1.0,4.0,9.0,4.0,h011.png,5,same,68.0,69.0,70.89999999999999,74.89999999999999,86.1,95.1,100.1,104.1
3,67,39,4,2.0,low_cue,med_stim,1.8,1.7,0.5,1.9,1.0,4.0,9.0,4.0,l008.png,4,same,106.0,107.0,108.8,112.8,114.5,123.5,124.0,128.0
4,19,40,4,4.0,high_cue,low_stim,0.6,4.1,0.6,3.3,1.0,4.0,9.0,4.0,h019.png,29,diff,131.3,132.3,132.9,136.9,141.0,150.0,150.6,154.6
5,42,41,4,3.0,low_cue,high_stim,1.3,1.0,8.8,7.2,1.0,4.0,9.0,4.0,l020.png,29,same,161.79999999999998,162.79999999999998,164.1,168.1,169.1,178.1,186.89999999999998,190.89999999999998
6,54,42,4,1.0,low_cue,low_stim,1.0,3.5,5.2,3.3,1.0,4.0,9.0,4.0,l040.png,36,same,194.2,195.2,196.2,200.2,203.7,212.7,217.89999999999998,221.89999999999998
7,30,43,4,5.0,high_cue,med_stim,1.4,3.5,3.1,0.8,1.0,4.0,9.0,4.0,h042.png,12,diff,222.7,223.7,225.09999999999997,229.09999999999997,232.59999999999997,241.59999999999997,244.7,248.7
8,43,44,4,3.0,low_cue,high_stim,1.0,1.7,6.5,3.6,1.0,4.0,9.0,4.0,l026.png,15,diff,252.29999999999998,253.29999999999998,254.29999999999998,258.3,260.0,269.0,275.5,279.5
9,31,45,4,5.0,high_cue,med_stim,1.9,4.2,3.2,6.3,1.0,4.0,9.0,4.0,h012.png,25,same,285.8,286.8,288.7,292.7,296.9,305.9,309.1,313.1
10,55,46,4,1.0,low_cue,low_stim,1.8,4.2,8.8,3.3,1.0,4.0,9.0,4.0,l009.png,24,diff,316.40000000000003,317.40000000000003,319.20000000000005,323.20000000000005,327.40000000000003,336.40000000000003,345.20000000000005,349.20000000000005
11,7,47,4,6.0,high_cue,high_stim,1.4,10.7,6.2,10.5,1.0,4.0,9.0,4.0,h049.png,25,same,359.70000000000005,360.70000000000005,362.1,366.1,376.80000000000007,385.80000000000007,392.00000000000006,396.00000000000006
