,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,64,24,3,2.0,low_cue,med_stim,2.9,1.0,1.0,4.0,2.0,9.0,5.2,4.0,l015.png,35,diff,35_100_R.jpg,2.9,3.9,4.9,8.9,10.9,19.9,25.099999999999998,29.099999999999998
1,52,25,3,1.0,low_cue,low_stim,1.5,1.0,1.3,4.0,4.8,9.0,1.9,4.0,l017.png,27,same,27_50.jpg,30.599999999999998,31.599999999999998,32.9,36.9,41.699999999999996,50.7,52.599999999999994,56.599999999999994
2,40,26,3,3.0,low_cue,high_stim,11.7,1.0,1.3,4.0,4.8,9.0,2.1,4.0,l041.png,27,same,27_150.jpg,68.3,69.3,70.6,74.6,79.39999999999999,88.39999999999999,90.5,94.5
3,16,27,3,4.0,high_cue,low_stim,3.4,1.0,1.8,4.0,5.3,9.0,2.9,4.0,h051.png,18,diff,18_50_R.jpg,97.9,98.9,100.7,104.7,110.0,119.0,121.9,125.9
4,28,28,3,5.0,high_cue,med_stim,7.1,1.0,0.7,4.0,6.3,9.0,2.9,4.0,h027.png,43,diff,43_100_R.jpg,133.0,134.0,134.70000000000002,138.70000000000002,145.0,154.0,156.9,160.9
5,4,29,3,6.0,high_cue,high_stim,6.9,1.0,0.8,4.0,2.6,9.0,2.9,4.0,h052.png,44,same,44_150.jpg,167.8,168.8,169.6,173.6,176.20000000000002,185.20000000000002,188.1,192.1
6,17,30,3,4.0,high_cue,low_stim,2.0,1.0,2.0,4.0,6.3,9.0,11.8,4.0,h030.png,10,diff,10_50_R.jpg,194.1,195.1,197.1,201.1,207.4,216.4,228.2,232.2
7,41,31,3,3.0,low_cue,high_stim,2.0,1.0,1.7,4.0,5.6,9.0,1.0,4.0,l026.png,38,diff,38_150_R.jpg,234.2,235.2,236.89999999999998,240.89999999999998,246.5,255.5,256.5,260.5
8,5,32,3,6.0,high_cue,high_stim,5.0,1.0,2.0,4.0,1.9,9.0,9.5,4.0,h029.png,42,same,42_150.jpg,265.5,266.5,268.5,272.5,274.4,283.4,292.9,296.9
9,65,33,3,2.0,low_cue,med_stim,2.2,1.0,1.3,4.0,6.3,9.0,4.2,4.0,l024.png,47,same,47_100.jpg,299.09999999999997,300.09999999999997,301.4,305.4,311.7,320.7,324.9,328.9
10,29,34,3,5.0,high_cue,med_stim,2.2,1.0,2.0,4.0,6.3,9.0,5.4,4.0,h036.png,18,diff,18_100_R.jpg,331.09999999999997,332.09999999999997,334.09999999999997,338.09999999999997,344.4,353.4,358.79999999999995,362.79999999999995
11,53,35,3,1.0,low_cue,low_stim,6.9,1.0,2.0,4.0,1.9,9.0,4.3,4.0,l010.png,35,diff,35_50_R.jpg,369.69999999999993,370.69999999999993,372.69999999999993,376.69999999999993,378.59999999999997,387.59999999999997,391.9,395.9
