,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,3.404,9.4098,21.3075,2.0,1.0,4.7,2.9,2.7,1.0,4.0,9.0,4.0,low_cue,med_stim,l038.png,2.7,3.7,4.7,8.7,13.399999999999999,22.4,25.299999999999997,29.299999999999997
1,1,27.9784,32.2873,41.0963,52.0089,1.0,1.3,7.5,1.9,1.7,1.0,4.0,9.0,4.0,low_cue,low_stim,l048.png,30.999999999999996,31.999999999999996,33.3,37.3,44.8,53.8,55.699999999999996,59.699999999999996
2,2,57.4992,61.8081,70.6171,81.7302,3.0,1.3,4.8,2.1,11.7,1.0,4.0,9.0,4.0,low_cue,high_stim,l015.png,71.39999999999999,72.39999999999999,73.69999999999999,77.69999999999999,82.5,91.5,93.6,97.6
3,3,97.4542,100.2511,106.81,118.7077,4.0,1.8,2.6,5.2,3.4,1.0,4.0,9.0,4.0,high_cue,low_stim,h017.png,101.0,102.0,103.8,107.8,110.39999999999999,119.39999999999999,124.6,128.6
4,4,125.9239,127.6644,138.0094,149.907,5.0,0.7,9.0,5.2,6.9,1.0,4.0,9.0,4.0,high_cue,med_stim,h046.png,135.5,136.5,137.2,141.2,150.2,159.2,164.4,168.4
5,5,160.7657,163.6767,170.2356,182.1333,6.0,0.8,2.6,5.2,6.9,1.0,4.0,9.0,4.0,high_cue,high_stim,h052.png,175.3,176.3,177.1,181.1,183.70000000000002,192.70000000000002,197.9,201.9
6,6,192.9919,199.1292,206.7297,225.221,4.0,2.0,3.6,9.5,2.0,1.0,4.0,9.0,4.0,high_cue,low_stim,h042.png,203.9,204.9,206.9,210.9,214.5,223.5,233.0,237.0
7,7,231.1716,233.9213,240.8166,250.7707,3.0,1.7,2.9,1.0,2.2,1.0,4.0,9.0,4.0,low_cue,high_stim,l014.png,239.2,240.2,241.9,245.9,248.8,257.8,258.8,262.8
8,8,256.7213,262.8585,268.7835,287.2748,6.0,2.0,1.9,11.8,5.2,1.0,4.0,9.0,4.0,high_cue,high_stim,h014.png,268.0,269.0,271.0,275.0,276.90000000000003,285.90000000000003,297.70000000000005,301.70000000000005
9,9,296.2595,300.5683,308.1689,319.0815,2.0,1.3,3.6,1.9,2.0,1.0,4.0,9.0,4.0,low_cue,med_stim,l053.png,303.70000000000005,304.70000000000005,306.00000000000006,310.00000000000006,313.6,322.6,324.50000000000006,328.50000000000006
10,10,325.0321,331.1694,338.7699,350.8392,5.0,2.0,6.3,5.4,2.2,1.0,4.0,9.0,4.0,high_cue,med_stim,h033.png,330.70000000000005,331.70000000000005,333.70000000000005,337.70000000000005,344.00000000000006,353.00000000000006,358.40000000000003,362.40000000000003
11,11,356.7898,362.927,368.8511,379.8353,1.0,2.0,4.6,2.0,6.9,1.0,4.0,9.0,4.0,low_cue,low_stim,l025.png,369.3,370.3,372.3,376.3,380.90000000000003,389.90000000000003,391.90000000000003,395.90000000000003
