,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,trial_type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,6.3223,25.9502,36.6534,2.0,2.3,12.2,5.8,8.2,1.0,4.0,9.0,4.0,low_cue,med_stim,l032.png,8.2,9.2,11.5,15.5,27.7,36.7,42.5,46.5
1,1,45.486,49.3204,56.0136,66.6703,3.0,1.2,2.7,5.8,2.2,1.0,4.0,9.0,4.0,low_cue,high_stim,l044.png,48.7,49.7,50.9,54.9,57.6,66.6,72.4,76.4
2,2,72.8913,78.0071,82.6948,92.5733,4.0,1.8,0.7,0.9,3.8,1.0,4.0,9.0,4.0,high_cue,low_stim,h001.png,80.2,81.2,83.0,87.0,87.7,96.7,97.6,101.6
3,3,100.3803,102.4551,113.9495,128.7249,5.0,1.1,7.5,5.8,12.8,1.0,4.0,9.0,4.0,high_cue,med_stim,h036.png,114.39999999999999,115.39999999999999,116.5,120.5,128.0,137.0,142.79999999999998,146.79999999999998
4,4,142.1166,144.322,163.9499,174.6531,6.0,1.2,12.2,1.7,0.9,1.0,4.0,9.0,4.0,high_cue,high_stim,h031.png,147.7,148.7,149.89999999999998,153.89999999999998,166.09999999999997,175.09999999999997,176.79999999999998,180.79999999999998
5,5,179.5429,181.5139,188.0454,198.7486,3.0,1.0,2.5,1.7,1.5,1.0,4.0,9.0,4.0,low_cue,high_stim,l053.png,182.29999999999998,183.29999999999998,184.29999999999998,188.29999999999998,190.79999999999998,199.79999999999998,201.49999999999997,205.49999999999997
6,6,204.2967,210.61900000000003,217.1506,228.114,1.0,2.3,2.5,6.1,4.9,1.0,4.0,9.0,4.0,low_cue,low_stim,l026.png,210.39999999999998,211.39999999999998,213.69999999999996,217.69999999999996,220.19999999999996,229.19999999999996,235.29999999999995,239.29999999999995
7,7,233.6621,239.3169,244.0045,254.968,6.0,2.0,0.7,2.0,2.2,1.0,4.0,9.0,4.0,high_cue,high_stim,h003.png,241.49999999999994,242.49999999999994,244.49999999999994,248.49999999999994,249.19999999999996,258.19999999999993,260.19999999999993,264.19999999999993
8,8,261.189,264.5472,271.8245,286.5999,4.0,1.0,3.3,9.9,3.4,1.0,4.0,9.0,4.0,high_cue,low_stim,h016.png,267.5999999999999,268.5999999999999,269.5999999999999,273.5999999999999,276.8999999999999,285.8999999999999,295.79999999999995,299.79999999999995
9,9,293.9851,297.8196,303.1233,321.3633,2.0,1.2,1.3,9.2,1.5,1.0,4.0,9.0,4.0,low_cue,med_stim,l005.png,301.29999999999995,302.29999999999995,303.49999999999994,307.49999999999994,308.79999999999995,317.79999999999995,326.99999999999994,330.99999999999994
10,10,326.9114,330.7459,342.3447,351.9639,1.0,1.2,5.9,4.7,4.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l030.png,335.29999999999995,336.29999999999995,337.49999999999994,341.49999999999994,347.3999999999999,356.3999999999999,361.09999999999997,365.0999999999999
11,11,356.8885,362.0043,368.5359,378.155,5.0,1.8,2.5,0.6,8.2,1.0,4.0,9.0,4.0,high_cue,med_stim,h024.png,373.2999999999999,374.2999999999999,376.0999999999999,380.0999999999999,382.5999999999999,391.5999999999999,392.19999999999993,396.19999999999993
