,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,12,0,2,1.0,low_cue,low_stim,0.8,4.7,4.0,11.4,1.0,4.0,9.0,4.0,l054.png,121-vw121,vw121*L.mp4,vw121t1aeaff_L.mp4,11.4,12.4,13.200000000000001,17.200000000000003,21.900000000000002,30.900000000000002,34.900000000000006,38.900000000000006
1,13,1,2,2.0,low_cue,med_stim,2.0,4.7,4.8,2.1,1.0,4.0,9.0,4.0,l019.png,120-kz120,kz120*M.mp4,kz120t2aeaff_M.mp4,41.00000000000001,42.00000000000001,44.00000000000001,48.00000000000001,52.7,61.7,66.5,70.5
2,14,2,2,5.0,high_cue,med_stim,2.0,0.8,2.8,4.5,1.0,4.0,9.0,4.0,h040.png,043-jh043,jh043*M.mp4,jh043t2aeunaff_M.mp4,75.0,76.0,78.0,82.0,82.8,91.8,94.6,98.6
3,15,3,2,3.0,low_cue,high_stim,0.9,7.5,3.2,9.1,1.0,4.0,9.0,4.0,l028.png,115-jy115,jy115*H.mp4,jy115t2aaaff_H.mp4,107.69999999999999,108.69999999999999,109.6,113.6,121.1,130.1,133.3,137.3
4,16,4,2,5.0,high_cue,med_stim,0.7,2.5,5.9,10.6,1.0,4.0,9.0,4.0,h043.png,097-gf097,gf097*M.mp4,gf097t1aiaff_M.mp4,147.9,148.9,149.60000000000002,153.60000000000002,156.10000000000002,165.10000000000002,171.0,175.0
5,17,5,2,3.0,low_cue,high_stim,2.1,2.2,3.1,0.9,1.0,4.0,9.0,4.0,l042.png,080-bn080,bn080*H.mp4,bn080t1afaff_H.mp4,175.9,176.9,179.0,183.0,185.2,194.2,197.3,201.3
6,18,6,2,1.0,low_cue,low_stim,2.0,5.3,5.9,1.3,1.0,4.0,9.0,4.0,l008.png,043-jh043,jh043*L.mp4,jh043t2aaunaff_L.mp4,202.60000000000002,203.60000000000002,205.60000000000002,209.60000000000002,214.9,223.9,229.8,233.8
7,19,7,2,6.0,high_cue,high_stim,0.7,0.8,4.9,0.9,1.0,4.0,9.0,4.0,h011.png,121-vw121,vw121*H.mp4,vw121t1aaaff_H.mp4,234.70000000000002,235.70000000000002,236.4,240.4,241.20000000000002,250.20000000000002,255.10000000000002,259.1
8,20,8,2,6.0,high_cue,high_stim,2.0,2.2,4.0,3.9,1.0,4.0,9.0,4.0,h044.png,043-jh043,jh043*H.mp4,jh043t2aeaff_H.mp4,263.0,264.0,266.0,270.0,272.20000000000005,281.20000000000005,285.20000000000005,289.20000000000005
9,21,9,2,4.0,high_cue,low_stim,1.8,10.6,3.9,4.7,1.0,4.0,9.0,4.0,h052.png,115-jy115,jy115*L.mp4,jy115t1aaunaff_L.mp4,293.90000000000003,294.90000000000003,296.70000000000005,300.70000000000005,311.30000000000007,320.30000000000007,324.20000000000005,328.20000000000005
10,22,10,2,4.0,high_cue,low_stim,1.9,4.9,5.0,1.7,1.0,4.0,9.0,4.0,h053.png,120-kz120,kz120*L.mp4,kz120t2aaunaff_L.mp4,329.90000000000003,330.90000000000003,332.80000000000007,336.80000000000007,341.70000000000005,350.70000000000005,355.70000000000005,359.70000000000005
11,23,11,2,2.0,low_cue,med_stim,0.9,7.6,6.7,2.8,1.0,4.0,9.0,4.0,l012.png,115-jy115,jy115*M.mp4,jy115t1aeaff_M.mp4,362.50000000000006,363.50000000000006,364.40000000000003,368.40000000000003,376.00000000000006,385.00000000000006,391.70000000000005,395.70000000000005
