,Unnamed: 0,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0,1,5.0,high_cue,med_stim,1.7,5.7,1.8,7.0,1.0,4.0,9.0,4.0,h025.png,064-ak064,ak064*M.mp4,ak064t1aiaff_M.mp4,7.0,8.0,9.7,13.7,19.4,28.4,30.2,34.2
1,1,1,1,6.0,high_cue,high_stim,0.5,2.1,1.4,4.5,1.0,4.0,9.0,4.0,h050.png,124-dn124,dn124*H.mp4,dn124t1aiaff_H.mp4,38.7,39.7,40.2,44.2,46.300000000000004,55.300000000000004,56.7,60.7
2,2,2,1,3.0,low_cue,high_stim,1.1,2.2,2.8,3.9,1.0,4.0,9.0,4.0,l047.png,052-dr052,dr052*H.mp4,dr052t1aiaff_H.mp4,64.60000000000001,65.60000000000001,66.7,70.7,72.9,81.9,84.7,88.7
3,3,3,1,4.0,high_cue,low_stim,2.9,4.2,1.4,5.3,1.0,4.0,9.0,4.0,h012.png,123-jh123,jh123*L.mp4,jh123t1aaunaff_L.mp4,94.0,95.0,97.9,101.9,106.1,115.1,116.5,120.5
4,4,4,1,5.0,high_cue,med_stim,2.9,8.7,2.8,5.1,1.0,4.0,9.0,4.0,h045.png,120-kz120,kz120*M.mp4,kz120t2aeaff_M.mp4,125.6,126.6,129.5,133.5,142.2,151.2,154.0,158.0
5,5,5,1,1.0,low_cue,low_stim,2.9,0.9,2.9,10.2,1.0,4.0,9.0,4.0,l030.png,052-dr052,dr052*L.mp4,dr052t1aeunaff_L.mp4,168.2,169.2,172.1,176.1,177.0,186.0,188.9,192.9
6,6,6,1,2.0,low_cue,med_stim,0.5,4.3,11.8,2.6,1.0,4.0,9.0,4.0,l032.png,052-dr052,dr052*M.mp4,dr052t2aaaff_M.mp4,195.5,196.5,197.0,201.0,205.3,214.3,226.10000000000002,230.10000000000002
7,7,7,1,2.0,low_cue,med_stim,1.1,3.3,2.9,2.0,1.0,4.0,9.0,4.0,l033.png,123-jh123,jh123*M.mp4,jh123t2aaaff_M.mp4,232.10000000000002,233.10000000000002,234.20000000000002,238.20000000000002,241.50000000000003,250.50000000000003,253.40000000000003,257.40000000000003
8,8,8,1,6.0,high_cue,high_stim,1.7,3.3,4.6,2.0,1.0,4.0,9.0,4.0,h001.png,123-jh123,jh123*H.mp4,jh123t1aeaff_H.mp4,259.40000000000003,260.40000000000003,262.1,266.1,269.40000000000003,278.40000000000003,283.00000000000006,287.00000000000006
9,9,9,1,1.0,low_cue,low_stim,1.2,8.7,8.0,1.3,1.0,4.0,9.0,4.0,l023.png,124-dn124,dn124*L.mp4,dn124t1aaunaff_L.mp4,288.30000000000007,289.30000000000007,290.50000000000006,294.50000000000006,303.20000000000005,312.20000000000005,320.20000000000005,324.20000000000005
10,10,10,1,4.0,high_cue,low_stim,0.7,9.7,6.1,9.6,1.0,4.0,9.0,4.0,h023.png,048-aa048,aa048*L.mp4,aa048t2aaunaff_L.mp4,333.80000000000007,334.80000000000007,335.50000000000006,339.50000000000006,349.20000000000005,358.20000000000005,364.30000000000007,368.30000000000007
11,11,11,1,3.0,low_cue,high_stim,0.8,0.9,7.5,0.5,1.0,4.0,9.0,4.0,l035.png,042-ll042,ll042*H.mp4,ll042t1aiaff_H.mp4,368.80000000000007,369.80000000000007,370.6000000000001,374.6000000000001,375.50000000000006,384.50000000000006,392.00000000000006,396.00000000000006
