,Unnamed: 0,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ISI1,ISI2
0,0,50,high,h001.png,24,6,pain,99,1,2,4.0,0.1353
1,1,48,low,l014.png,11,1,pain,99,1,2,1.1016,0.0781
2,2,48,high,h051.png,4,2,pain,99,1,2,1.6615,0.1353
3,3,50,high,h016.png,30,6,pain,99,1,2,4.0,0.0781
4,4,48,high,h054.png,8,2,pain,99,1,2,0.7918,0.318
5,5,49,low,l052.png,21,3,pain,99,1,2,1.8959,0.1118
6,6,49,high,h005.png,14,4,pain,99,1,2,4.0,0.8271
7,7,49,low,l030.png,19,3,pain,99,1,2,0.4034,1.1643
8,8,50,low,l002.png,25,5,pain,99,1,2,0.9802,0.3557
9,9,49,high,h020.png,22,4,pain,99,1,2,4.0,0.3238
10,10,48,high,h011.png,2,2,pain,99,1,2,3.8324,0.0064
11,11,49,low,l013.png,13,3,pain,99,1,2,0.9802,0.3238
12,12,48,low,l036.png,9,1,pain,99,1,2,1.9014,0.6424
13,13,50,high,h037.png,28,6,pain,99,1,2,1.4526,0.3529
14,14,49,high,h010.png,12,4,pain,99,1,2,4.0,0.019
15,15,50,high,h049.png,26,6,pain,99,1,2,0.8517,0.6424
16,16,49,high,h007.png,18,4,pain,99,1,2,4.0,0.1118
17,17,48,low,l016.png,3,1,pain,99,1,2,4.0,0.7665
18,18,50,high,h043.png,34,6,pain,99,1,2,3.1285,0.019
19,19,50,low,l046.png,31,5,pain,99,1,2,1.0973,0.019
20,20,50,high,h032.png,32,6,pain,99,1,2,4.0,0.1353
21,21,49,low,l021.png,23,3,pain,99,1,2,3.8324,0.181
22,22,48,high,h013.png,10,2,pain,99,1,2,1.1426,0.533
23,23,49,low,l033.png,15,3,pain,99,1,2,1.0973,0.8271
24,24,48,low,l043.png,5,1,pain,99,1,2,1.6615,0.274
25,25,48,high,h040.png,6,2,pain,99,1,2,4.0,1.1643
26,26,48,high,h055.png,0,2,pain,99,1,2,4.0,0.3926
27,27,48,low,l026.png,1,1,pain,99,1,2,3.8324,0.2031
28,28,50,low,l008.png,29,5,pain,99,1,2,0.8517,0.0304
29,29,50,low,l041.png,35,5,pain,99,1,2,1.4707,0.3529
30,30,50,low,l042.png,33,5,pain,99,1,2,1.8959,0.6424
31,31,48,low,l022.png,7,1,pain,99,1,2,1.7599,1.1643
32,32,49,high,h045.png,16,4,pain,99,1,2,4.0,0.3926
33,33,50,low,l035.png,27,5,pain,99,1,2,4.0,1.1643
34,34,49,low,l049.png,17,3,pain,99,1,2,0.4034,0.4394
35,35,49,high,h047.png,20,4,pain,99,1,2,1.7599,0.3557
