,trial_order,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ISI1,ISI2
0,0,50,high,h041.png,28,6,pain,99,1,5,1.8,0.9
1,1,48,low,l002.png,9,1,pain,99,1,5,1.4,0.9
2,2,50,high,h047.png,24,6,pain,99,1,5,1.1,1.1
3,3,50,high,h003.png,30,6,pain,99,1,5,2.4,0.9
4,4,48,low,l025.png,11,1,pain,99,1,5,3.7,0.5
5,5,50,low,l017.png,31,5,pain,99,1,5,1.4,1.2
6,6,49,low,l040.png,13,3,pain,99,1,5,1.2,0.7
7,7,49,high,h015.png,16,4,pain,99,1,5,1.4,1.0
8,8,48,high,h001.png,8,2,pain,99,1,5,2.7,1.0
9,9,48,low,l021.png,5,1,pain,99,1,5,2.6,2.0
10,10,50,low,l052.png,35,5,pain,99,1,5,1.4,2.1
11,11,50,low,l011.png,25,5,pain,99,1,5,2.9,0.6
12,12,49,low,l042.png,21,3,pain,99,1,5,2.8,2.3
13,13,50,high,h014.png,34,6,pain,99,1,5,1.1,1.8
14,14,49,high,h031.png,12,4,pain,99,1,5,1.6,0.5
15,15,49,high,h011.png,22,4,pain,99,1,5,2.2,1.3
16,16,48,high,h010.png,0,2,pain,99,1,5,2.1,0.6
17,17,49,high,h050.png,20,4,pain,99,1,5,1.1,0.8
18,18,49,high,h006.png,18,4,pain,99,1,5,2.0,0.9
19,19,50,high,h053.png,32,6,pain,99,1,5,1.6,0.6
20,20,50,high,h004.png,26,6,pain,99,1,5,1.5,0.7
21,21,48,high,h023.png,4,2,pain,99,1,5,2.4,0.5
22,22,50,low,l049.png,29,5,pain,99,1,5,1.0,0.5
23,23,49,low,l005.png,19,3,pain,99,1,5,2.0,0.5
24,24,49,high,h027.png,14,4,pain,99,1,5,1.5,0.6
25,25,50,low,l032.png,27,5,pain,99,1,5,1.1,0.6
26,26,48,low,l014.png,1,1,pain,99,1,5,1.1,2.1
27,27,48,high,h034.png,2,2,pain,99,1,5,4.5,1.3
28,28,50,low,l046.png,33,5,pain,99,1,5,2.3,0.6
29,29,49,low,l018.png,15,3,pain,99,1,5,1.2,0.5
30,30,48,high,h026.png,6,2,pain,99,1,5,1.6,1.3
31,31,48,low,l023.png,3,1,pain,99,1,5,2.9,1.1
32,32,48,high,h024.png,10,2,pain,99,1,5,2.9,0.7
33,33,49,low,l038.png,23,3,pain,99,1,5,3.2,2.1
34,34,48,low,l007.png,7,1,pain,99,1,5,2.4,0.5
35,35,49,low,l012.png,17,3,pain,99,1,5,2.3,0.7
