,Unnamed: 0,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version,ISI1,ISI2
0,0,107-hs107,high,low,h007.png,35,5,vicarious,99,hs107*H.mp4,hs107t1afaff_H.mp4,1,3.2,0.5
1,1,101-mg101,med,high,h011.png,14,4,vicarious,99,mg101*M.mp4,mg101t2aeunaff_M.mp4,1,0.4,0.3
2,2,107-hs107,low,high,h048.png,10,2,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4,1,4.0,0.4
3,3,124-dn124,med,high,h016.png,16,4,vicarious,99,dn124*M.mp4,dn124t1aeunaff_M.mp4,1,0.8,0.6
4,4,042-ll042,high,high,h056.png,32,6,vicarious,99,ll042*H.mp4,ll042t1aiaff_H.mp4,1,1.5,1.1
5,5,092-ch092,med,high,h022.png,20,4,vicarious,99,ch092*M.mp4,ch092t2aaaff_M.mp4,1,2.0,3.2
6,6,049-bm049,med,high,h004.png,12,4,vicarious,99,bm049*M.mp4,bm049t2aeaff_M.mp4,1,3.2,0.2
7,7,096-bg096,high,low,h049.png,25,5,vicarious,99,bg096*H.mp4,bg096t1aeaff_H.mp4,1,2.7,0.3
8,8,123-jh123,med,low,l047.png,23,3,vicarious,99,jh123*M.mp4,jh123t2aaaff_M.mp4,1,1.4,1.9
9,9,042-ll042,low,high,h046.png,4,2,vicarious,99,ll042*L.mp4,ll042t1aaunaff_L.mp4,1,3.2,0.2
10,10,120-kz120,med,low,l007.png,13,3,vicarious,99,kz120*M.mp4,kz120t2aeaff_M.mp4,1,1.1,0.1
11,11,121-vw121,low,low,h024.png,3,1,vicarious,99,vw121*L.mp4,vw121t1aeaff_L.mp4,1,0.8,0.1
12,12,092-ch092,high,low,h028.png,29,5,vicarious,99,ch092*H.mp4,ch092t2aiaff_H.mp4,1,0.4,2.0
13,13,121-vw121,high,high,h014.png,26,6,vicarious,99,vw121*H.mp4,vw121t1aaaff_H.mp4,1,2.2,1.1
14,14,123-jh123,high,high,h028.png,24,6,vicarious,99,jh123*H.mp4,jh123t1aeaff_H.mp4,1,3.2,3.1
15,15,101-mg101,low,low,h030.png,11,1,vicarious,99,mg101*L.mp4,mg101t2afunaff_L.mp4,1,3.2,1.0
16,16,092-ch092,low,high,h020.png,2,2,vicarious,99,ch092*L.mp4,ch092t2aeaff_L.mp4,1,0.2,0.2
17,17,121-vw121,med,high,h044.png,18,4,vicarious,99,vw121*M.mp4,vw121t1aiaff_M.mp4,1,0.2,0.4
18,18,097-gf097,high,low,l005.png,33,5,vicarious,99,gf097*H.mp4,gf097t2aaunaff_H.mp4,1,4.0,1.0
19,19,096-bg096,med,low,l021.png,15,3,vicarious,99,bg096*M.mp4,bg096t2aaaff_M.mp4,1,4.0,3.2
20,20,042-ll042,med,low,l015.png,21,3,vicarious,99,ll042*M.mp4,ll042t1afunaff_M.mp4,1,3.2,0.6
21,21,049-bm049,high,high,h037.png,30,6,vicarious,99,bm049*H.mp4,bm049t2aeunaff_H.mp4,1,1.5,0.4
22,22,049-bm049,low,high,h009.png,8,2,vicarious,99,bm049*L.mp4,bm049t1afaff_L.mp4,1,3.2,0.4
23,23,124-dn124,low,high,h029.png,6,2,vicarious,99,dn124*L.mp4,dn124t1aaunaff_L.mp4,1,2.0,0.2
24,24,101-mg101,high,high,h012.png,28,6,vicarious,99,mg101*H.mp4,mg101t2aeaff_H.mp4,1,3.2,0.4
25,25,096-bg096,low,low,h039.png,5,1,vicarious,99,bg096*L.mp4,bg096t2afunaff_L.mp4,1,1.1,1.1
26,26,107-hs107,med,low,h006.png,19,3,vicarious,99,hs107*M.mp4,hs107t2aaaff_M.mp4,1,3.2,3.2
27,27,124-dn124,high,low,h053.png,27,5,vicarious,99,dn124*H.mp4,dn124t1aiaff_H.mp4,1,0.4,1.0
28,28,097-gf097,low,low,l038.png,1,1,vicarious,99,gf097*L.mp4,gf097t2aiunaff_L.mp4,1,2.0,1.8
29,29,052-dr052,med,high,h040.png,22,4,vicarious,99,dr052*M.mp4,dr052t2aaaff_M.mp4,1,0.0,0.2
30,30,052-dr052,low,low,h052.png,9,1,vicarious,99,dr052*L.mp4,dr052t1aeunaff_L.mp4,1,3.2,0.6
31,31,120-kz120,high,low,h041.png,31,5,vicarious,99,kz120*H.mp4,kz120t2aaaff_H.mp4,1,2.8,0.3
32,32,052-dr052,high,high,h007.png,34,6,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4,1,2.0,0.6
33,33,123-jh123,low,high,h034.png,0,2,vicarious,99,jh123*L.mp4,jh123t1aaunaff_L.mp4,1,2.7,3.5
34,34,097-gf097,med,low,h025.png,17,3,vicarious,99,gf097*M.mp4,gf097t1aiaff_M.mp4,1,0.0,0.6
35,35,120-kz120,low,low,h027.png,7,1,vicarious,99,kz120*L.mp4,kz120t2aaunaff_L.mp4,1,0.4,0.1
