,Unnamed: 0,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ISI1,ISI2
0,0,50,low,l002.png,25,5,pain,99,2,1,3.0,0.5
1,1,48,low,l022.png,7,1,pain,99,2,1,3.8,3.5
2,2,49,high,h005.png,14,4,pain,99,2,1,3.0,0.1
3,3,50,high,h043.png,34,6,pain,99,2,1,3.0,0.2
4,4,50,low,l035.png,27,5,pain,99,2,1,0.7,0.3
5,5,50,high,h049.png,26,6,pain,99,2,1,1.2,0.7
6,6,48,high,h051.png,4,2,pain,99,2,1,3.0,0.5
7,7,49,high,h007.png,18,4,pain,99,2,1,1.4,1.9
8,8,48,low,l043.png,5,1,pain,99,2,1,1.5,0.2
9,9,48,low,l014.png,11,1,pain,99,2,1,0.4,0.8
10,10,49,low,l049.png,17,3,pain,99,2,1,1.7,0.1
11,11,49,low,l052.png,21,3,pain,99,2,1,3.0,0.1
12,12,50,high,h032.png,32,6,pain,99,2,1,0.7,0.4
13,13,48,high,h013.png,10,2,pain,99,2,1,1.6,3.5
14,14,50,high,h037.png,28,6,pain,99,2,1,2.5,0.5
15,15,50,high,h001.png,24,6,pain,99,2,1,1.1,0.5
16,16,50,low,l041.png,35,5,pain,99,2,1,2.1,5.0
17,17,48,high,h040.png,6,2,pain,99,2,1,0.5,0.6
18,18,49,high,h010.png,12,4,pain,99,2,1,0.4,0.2
19,19,49,high,h020.png,22,4,pain,99,2,1,3.0,0.2
20,20,49,low,l030.png,19,3,pain,99,2,1,2.2,0.6
21,21,49,low,l033.png,15,3,pain,99,2,1,0.1,0.5
22,22,49,high,h045.png,16,4,pain,99,2,1,2.5,0.3
23,23,48,high,h055.png,0,2,pain,99,2,1,1.2,0.1
24,24,49,low,l013.png,13,3,pain,99,2,1,3.1,0.2
25,25,49,high,h047.png,20,4,pain,99,2,1,3.0,0.9
26,26,50,high,h016.png,30,6,pain,99,2,1,4.0,0.1
27,27,49,low,l021.png,23,3,pain,99,2,1,3.0,0.8
28,28,48,high,h011.png,2,2,pain,99,2,1,3.1,1.1
29,29,48,high,h054.png,8,2,pain,99,2,1,3.0,5.1
30,30,48,low,l016.png,3,1,pain,99,2,1,1.5,0.4
31,31,50,low,l042.png,33,5,pain,99,2,1,1.5,4.0
32,32,48,low,l026.png,1,1,pain,99,2,1,0.7,0.3
33,33,48,low,l036.png,9,1,pain,99,2,1,1.4,0.3
34,34,50,low,l046.png,31,5,pain,99,2,1,4.0,0.1
35,35,50,low,l008.png,29,5,pain,99,2,1,0.6,1.5
