,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version
0,16,50,same,high,h048_M085_STD039.png,6,2,cognitive,99,1,16_50.jpg,2
1,44,100,different,high,h014_M098_STD056.png,22,4,cognitive,99,1,44_100_R.jpg,2
2,1,100,different,high,h001_M086_STD035.png,26,4,cognitive,99,1,1_100_R.jpg,2
3,15,100,same,high,h005_M105_STD050.png,14,4,cognitive,99,1,15_100.jpg,2
4,25,100,same,high,h019_M072_STD048.png,16,4,cognitive,99,1,25_100.jpg,2
5,4,50,different,low,l047_M217_STD041.png,11,1,cognitive,99,1,4_50_R.jpg,2
6,1,50,different,high,h037_M089_STD046.png,12,2,cognitive,99,1,1_50_R.jpg,2
7,15,50,same,high,h008_M069_STD043.png,0,2,cognitive,99,1,15_50.jpg,2
8,29,50,different,high,h035_M071_STD048.png,10,2,cognitive,99,1,29_50_R.jpg,2
9,2,50,same,low,l005_M228_STD020.png,5,1,cognitive,99,1,2_50.jpg,2
10,23,100,different,low,l053_M200_STD048.png,21,3,cognitive,99,1,23_100_R.jpg,2
11,29,100,different,high,h002_M082_STD038.png,24,4,cognitive,99,1,29_100_R.jpg,2
12,11,50,different,low,l030_M234_STD037.png,9,1,cognitive,99,1,11_50_R.jpg,2
13,41,100,same,high,h036_M095_STD045.png,18,4,cognitive,99,1,41_100.jpg,2
14,5,100,same,low,l020_M221_STD045.png,15,3,cognitive,99,1,5_100.jpg,2
15,4,100,different,low,l010_M214_STD043.png,25,3,cognitive,99,1,4_100_R.jpg,2
16,41,50,same,high,h009_M098_STD036.png,4,2,cognitive,99,1,41_50.jpg,2
17,16,100,same,high,h038_M114_STD033.png,20,4,cognitive,99,1,16_100.jpg,2
18,25,50,same,high,h034_M066_STD050.png,2,2,cognitive,99,1,25_50.jpg,2
19,44,50,different,high,h047_M105_STD042.png,8,2,cognitive,99,1,44_50_R.jpg,2
20,5,50,same,low,l012_M206_STD040.png,1,1,cognitive,99,1,5_50.jpg,2
21,23,50,different,low,l001_M238_STD022.png,7,1,cognitive,99,1,23_50_R.jpg,2
22,24,100,same,low,l045_M242_STD034.png,17,3,cognitive,99,1,24_100.jpg,2
23,38,100,different,low,l013_M205_STD032.png,27,3,cognitive,99,1,38_100_R.jpg,2
24,11,100,different,low,l052_M205_STD051.png,23,3,cognitive,99,1,11_100_R.jpg,2
25,24,50,same,low,l039_M215_STD030.png,3,1,cognitive,99,1,24_50.jpg,2
26,2,100,same,low,l032_M208_STD056.png,19,3,cognitive,99,1,2_100.jpg,2
27,38,50,different,low,l034_M217_STD038.png,13,1,cognitive,99,1,38_50_R.jpg,2
