,stimuli_num,degree,match,cue_type,random_order,trial_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,image_filename
0,6,50,different,high,8,2,cognitive,99,2,3,6_50_R.jpg
1,15,100,different,low,27,3,cognitive,99,2,3,15_100_R.jpg
2,8,50,different,low,7,1,cognitive,99,2,3,8_50_R.jpg
3,8,50,same,high,0,2,cognitive,99,2,3,8_50.jpg
4,17,50,same,high,2,2,cognitive,99,2,3,17_50.jpg
5,31,100,same,high,18,4,cognitive,99,2,3,31_100.jpg
6,45,100,different,high,22,4,cognitive,99,2,3,45_100_R.jpg
7,31,100,different,low,25,3,cognitive,99,2,3,31_100_R.jpg
8,18,50,same,high,4,2,cognitive,99,2,3,18_50.jpg
9,7,100,different,high,26,4,cognitive,99,2,3,7_100_R.jpg
10,18,50,different,low,11,1,cognitive,99,2,3,18_50_R.jpg
11,45,100,same,low,15,3,cognitive,99,2,3,45_100.jpg
12,40,50,same,high,6,2,cognitive,99,2,3,40_50.jpg
13,33,100,different,high,24,4,cognitive,99,2,3,33_100_R.jpg
