,Unnamed: 0,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ISI1,ISI2
0,0,49,high,h020.png,22,4,pain,99,2,5,1.607,0.3185
1,1,50,low,l035.png,27,5,pain,99,2,5,3.2314,0.5229
2,2,49,low,l033.png,15,3,pain,99,2,5,1.6716,1.2017
3,3,50,high,h016.png,30,6,pain,99,2,5,2.8735,0.0325
4,4,49,low,l049.png,17,3,pain,99,2,5,2.8542,0.5617
5,5,49,high,h007.png,18,4,pain,99,2,5,4.0,0.3759
6,6,48,high,h054.png,8,2,pain,99,2,5,1.9652,1.5333
7,7,48,high,h055.png,0,2,pain,99,2,5,2.8735,0.5523
8,8,50,high,h043.png,34,6,pain,99,2,5,2.9229,0.0563
9,9,49,low,l021.png,23,3,pain,99,2,5,3.5882,0.1292
10,10,48,low,l036.png,9,1,pain,99,2,5,2.2204,2.0
11,11,50,high,h032.png,32,6,pain,99,2,5,0.0396,0.2654
12,12,48,low,l043.png,5,1,pain,99,2,5,2.8735,0.4249
13,13,48,low,l022.png,7,1,pain,99,2,5,3.2181,0.0755
14,14,50,low,l041.png,35,5,pain,99,2,5,4.0,0.1223
15,15,49,high,h047.png,20,4,pain,99,2,5,4.0,0.1292
16,16,49,low,l052.png,21,3,pain,99,2,5,4.0,2.0
17,17,50,low,l046.png,31,5,pain,99,2,5,2.5979,0.127
18,18,48,low,l026.png,1,1,pain,99,2,5,4.0,0.8366
19,19,48,low,l014.png,11,1,pain,99,2,5,1.7399,0.0976
20,20,50,low,l008.png,29,5,pain,99,2,5,3.0646,0.1223
21,21,50,low,l042.png,33,5,pain,99,2,5,1.3528,0.0976
22,22,49,low,l013.png,13,3,pain,99,2,5,2.4979,0.0976
23,23,49,high,h045.png,16,4,pain,99,2,5,1.28,0.0325
24,24,48,low,l016.png,3,1,pain,99,2,5,2.8542,0.127
25,25,48,high,h040.png,6,2,pain,99,2,5,4.0,0.4249
26,26,50,high,h001.png,24,6,pain,99,2,5,1.5607,0.0409
27,27,49,high,h005.png,14,4,pain,99,2,5,0.1018,0.2654
28,28,49,low,l030.png,19,3,pain,99,2,5,4.0,0.0563
29,29,50,low,l002.png,25,5,pain,99,2,5,0.9203,1.1965
30,30,48,high,h011.png,2,2,pain,99,2,5,3.0772,0.0976
31,31,50,high,h049.png,26,6,pain,99,2,5,4.0,0.1292
32,32,49,high,h010.png,12,4,pain,99,2,5,0.8933,0.1923
33,33,48,high,h013.png,10,2,pain,99,2,5,0.695,0.1343
34,34,48,high,h051.png,4,2,pain,99,2,5,3.0646,0.6236
35,35,50,high,h037.png,28,6,pain,99,2,5,1.3528,0.025
