,administer,cue_type,cue_image,random_order,cond_type
0,48,high,h029_M107_STD049.png,0,2
1,48,low,h049_M074_STD036.png,1,1
2,48,high,h044_M094_STD038.png,2,2
3,48,low,h013_M073_STD037.png,3,1
4,48,high,h051_M136_STD042.png,4,2
5,48,low,h040_M124_STD051.png,5,1
6,48,high,h010_M110_STD035.png,6,2
7,48,low,h041_M097_STD041.png,7,1
8,48,high,h012_M115_STD042.png,8,2
9,48,low,h051_M078_STD041.png,9,1
10,48,high,h023_M104_STD059.png,10,2
11,48,low,h056_M065_STD037.png,11,1
12,49,high,h027_M120_STD050.png,12,4
13,49,low,h018_M097_STD034.png,13,3
14,49,high,h040_M080_STD045.png,14,4
15,49,low,h030_M071_STD030.png,15,3
16,49,high,h015_M098_STD036.png,16,4
17,49,low,h020_M086_STD047.png,17,3
18,49,high,h013_M097_STD051.png,18,4
19,49,low,h003_M104_STD036.png,19,3
20,49,high,h037_M107_STD048.png,20,4
21,49,low,h053_M101_STD038.png,21,3
22,49,high,h033_M104_STD048.png,22,4
23,49,low,h025_M074_STD054.png,23,3
24,50,high,h042_M094_STD043.png,24,6
25,50,low,h008_M119_STD034.png,25,5
26,50,high,h009_M087_STD048.png,26,6
27,50,low,h014_M090_STD029.png,27,5
28,50,high,h052_M082_STD052.png,28,6
29,50,low,h012_M111_STD032.png,29,5
30,50,high,h007_M080_STD044.png,30,6
31,50,low,h022_M097_STD045.png,31,5
32,50,high,h008_M107_STD049.png,32,6
33,50,low,h028_M099_STD051.png,33,5
34,50,high,h050_M088_STD047.png,34,6
35,50,low,h047_M116_STD054.png,35,5
