,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version
0,107-hs107,high,high,h051_M091_STD024.png,24,6,vicarious,99,hs107*H.mp4,hs107t1afaff_H.mp4,2
1,048-aa048,high,low,h004_M081_STD025.png,29,5,vicarious,99,aa048*H.mp4,aa048t2aeaff_H.mp4,2
2,047-jl047,med,high,h034_M100_STD047.png,12,4,vicarious,99,jl047*M.mp4,jl047t1aiunaff_M.mp4,2
3,109-ib109,med,high,h044_M077_STD044.png,14,4,vicarious,99,ib109*M.mp4,ib109t1afaff_M.mp4,2
4,115-jy115,low,high,h037_M121_STD032.png,8,2,vicarious,99,jy115*L.mp4,jy115t1aaunaff_L.mp4,2
5,107-hs107,med,low,h020_M086_STD033.png,19,3,vicarious,99,hs107*M.mp4,hs107t2aaaff_M.mp4,2
6,115-jy115,high,high,h053_M111_STD044.png,32,6,vicarious,99,jy115*H.mp4,jy115t2aaaff_H.mp4,2
7,109-ib109,high,high,h048_M109_STD065.png,28,6,vicarious,99,ib109*H.mp4,ib109t1aiaff_H.mp4,2
8,123-jh123,med,low,h013_M103_STD044.png,13,3,vicarious,99,jh123*M.mp4,jh123t2aaaff_M.mp4,2
9,123-jh123,low,low,h001_M086_STD034.png,7,1,vicarious,99,jh123*L.mp4,jh123t1aaunaff_L.mp4,2
10,042-ll042,med,high,h049_M099_STD059.png,20,4,vicarious,99,ll042*M.mp4,ll042t1afunaff_M.mp4,2
11,043-jh043,low,high,h023_M110_STD061.png,6,2,vicarious,99,jh043*L.mp4,jh043t2aaunaff_L.mp4,2
12,108-th108,high,high,h041_M089_STD031.png,26,6,vicarious,99,th108*H.mp4,th108t1aeaff_H.mp4,2
13,115-jy115,med,high,h018_M082_STD048.png,18,4,vicarious,99,jy115*M.mp4,jy115t1aeaff_M.mp4,2
14,108-th108,med,low,h014_M100_STD028.png,23,3,vicarious,99,th108*M.mp4,th108t2aaunaff_M.mp4,2
15,043-jh043,high,low,h038_M113_STD042.png,33,5,vicarious,99,jh043*H.mp4,jh043t2aeaff_H.mp4,2
16,106-nm106,low,low,h031_M086_STD041.png,9,1,vicarious,99,nm106*L.mp4,nm106t1aaunaff_L.mp4,2
17,047-jl047,high,low,h044_M081_STD034.png,31,5,vicarious,99,jl047*H.mp4,jl047t1aiaff_H.mp4,2
18,106-nm106,med,low,h033_M088_STD038.png,15,3,vicarious,99,nm106*M.mp4,nm106t2aaunaff_M.mp4,2
19,101-mg101,low,low,h010_M081_STD027.png,1,1,vicarious,99,mg101*L.mp4,mg101t2afunaff_L.mp4,2
20,043-jh043,med,high,h028_M087_STD046.png,16,4,vicarious,99,jh043*M.mp4,jh043t2aeunaff_M.mp4,2
21,108-th108,low,high,h039_M109_STD031.png,10,2,vicarious,99,th108*L.mp4,th108t1aaunaff_L.mp4,2
22,101-mg101,med,high,h033_M120_STD051.png,22,4,vicarious,99,mg101*M.mp4,mg101t2aeunaff_M.mp4,2
23,047-jl047,low,high,h047_M096_STD043.png,2,2,vicarious,99,jl047*L.mp4,jl047t1aaunaff_L.mp4,2
24,107-hs107,low,high,h021_M077_STD047.png,4,2,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4,2
25,101-mg101,high,high,h006_M091_STD053.png,34,6,vicarious,99,mg101*H.mp4,mg101t2aeaff_H.mp4,2
26,109-ib109,low,low,h017_M078_STD029.png,5,1,vicarious,99,ib109*L.mp4,ib109t1aiunaff_L.mp4,2
27,123-jh123,high,low,h021_M094_STD045.png,25,5,vicarious,99,jh123*H.mp4,jh123t1aeaff_H.mp4,2
28,092-ch092,med,low,h007_M093_STD031.png,21,3,vicarious,99,ch092*M.mp4,ch092t2aaaff_M.mp4,2
29,092-ch092,high,low,h053_M072_STD027.png,35,5,vicarious,99,ch092*H.mp4,ch092t2aiaff_H.mp4,2
30,042-ll042,high,high,h056_M108_STD025.png,30,6,vicarious,99,ll042*H.mp4,ll042t1aiaff_H.mp4,2
31,106-nm106,high,low,h022_M074_STD030.png,27,5,vicarious,99,nm106*H.mp4,nm106t1afaff_H.mp4,2
32,042-ll042,low,high,h009_M103_STD035.png,0,2,vicarious,99,ll042*L.mp4,ll042t1aaunaff_L.mp4,2
33,048-aa048,low,low,h008_M117_STD022.png,11,1,vicarious,99,aa048*L.mp4,aa048t2aaunaff_L.mp4,2
34,092-ch092,low,low,h018_M097_STD046.png,3,1,vicarious,99,ch092*L.mp4,ch092t2aeaff_L.mp4,2
35,048-aa048,med,low,h054_M080_STD041.png,17,3,vicarious,99,aa048*M.mp4,aa048t2afunaff_M.mp4,2
