,Unnamed: 0,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version,ISI1,ISI2
0,0,121-vw121,med,high,h001.png,14,4,vicarious,99,vw121*M.mp4,vw121t1aiaff_M.mp4,3,4.0,1.3063
1,1,107-hs107,low,high,h023.png,10,2,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4,3,1.2279,0.0601
2,2,048-aa048,high,low,l047.png,33,5,vicarious,99,aa048*H.mp4,aa048t2aeaff_H.mp4,3,4.0,0.8774
3,3,092-ch092,low,high,h029.png,6,2,vicarious,99,ch092*L.mp4,ch092t2aeaff_L.mp4,3,4.0,0.4954
4,4,121-vw121,high,high,h046.png,28,6,vicarious,99,vw121*H.mp4,vw121t1aaaff_H.mp4,3,4.0,0.2439
5,5,121-vw121,low,low,l032.png,1,1,vicarious,99,vw121*L.mp4,vw121t1aeaff_L.mp4,3,4.0,0.0601
6,6,120-kz120,high,low,l046.png,27,5,vicarious,99,kz120*H.mp4,kz120t2aaaff_H.mp4,3,2.3196,0.0801
7,7,120-kz120,med,high,h056.png,22,4,vicarious,99,kz120*M.mp4,kz120t2aeaff_M.mp4,3,4.0,0.3565
8,8,096-bg096,high,low,h053.png,29,5,vicarious,99,bg096*H.mp4,bg096t1aeaff_H.mp4,3,2.3196,0.2795
9,9,048-aa048,low,high,h004.png,2,2,vicarious,99,aa048*L.mp4,aa048t2aaunaff_L.mp4,3,2.3055,0.3657
10,10,047-jl047,high,high,h021.png,32,6,vicarious,99,jl047*H.mp4,jl047t1aiaff_H.mp4,3,1.941,0.4373
11,11,097-gf097,med,low,h033.png,21,3,vicarious,99,gf097*M.mp4,gf097t1aiaff_M.mp4,3,4.0,0.953
12,12,092-ch092,med,low,h010.png,15,3,vicarious,99,ch092*M.mp4,ch092t2aaaff_M.mp4,3,0.8837,1.2458
13,13,097-gf097,low,low,l030.png,11,1,vicarious,99,gf097*L.mp4,gf097t2aiunaff_L.mp4,3,3.4939,0.7862
14,14,096-bg096,med,high,h018.png,16,4,vicarious,99,bg096*M.mp4,bg096t2aaaff_M.mp4,3,4.0,0.2439
15,15,064-ak064,high,high,h025.png,26,6,vicarious,99,ak064*H.mp4,ak064t1aaaff_H.mp4,3,2.3055,0.9788
16,16,107-hs107,med,high,h009.png,20,4,vicarious,99,hs107*M.mp4,hs107t2aaaff_M.mp4,3,4.0,0.5827
17,17,120-kz120,low,low,h048.png,5,1,vicarious,99,kz120*L.mp4,kz120t2aaunaff_L.mp4,3,1.9023,0.0801
18,18,049-bm049,high,high,h010.png,24,6,vicarious,99,bm049*H.mp4,bm049t2aeunaff_H.mp4,3,1.9023,0.9788
19,19,047-jl047,med,low,h018.png,23,3,vicarious,99,jl047*M.mp4,jl047t1aiunaff_M.mp4,3,0.3834,0.4986
20,20,115-jy115,low,low,l040.png,7,1,vicarious,99,jy115*L.mp4,jy115t1aaunaff_L.mp4,3,2.3856,1.2458
21,21,064-ak064,med,low,l013.png,17,3,vicarious,99,ak064*M.mp4,ak064t1aiaff_M.mp4,3,1.0271,0.7862
22,22,115-jy115,high,low,h052.png,31,5,vicarious,99,jy115*H.mp4,jy115t2aaaff_H.mp4,3,4.0,0.1539
23,23,047-jl047,low,high,h051.png,8,2,vicarious,99,jl047*L.mp4,jl047t1aaunaff_L.mp4,3,4.0,0.7697
24,24,096-bg096,low,low,l017.png,9,1,vicarious,99,bg096*L.mp4,bg096t2afunaff_L.mp4,3,3.4939,1.2458
25,25,049-bm049,low,low,l038.png,3,1,vicarious,99,bm049*L.mp4,bm049t1afaff_L.mp4,3,0.1798,0.9788
26,26,052-dr052,high,high,h013.png,30,6,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4,3,0.3834,0.3994
27,27,092-ch092,high,low,h034.png,25,5,vicarious,99,ch092*H.mp4,ch092t2aiaff_H.mp4,3,4.0,1.3063
28,28,052-dr052,low,high,h052.png,0,2,vicarious,99,dr052*L.mp4,dr052t1aeunaff_L.mp4,3,0.1798,0.088
29,29,097-gf097,high,high,h007.png,34,6,vicarious,99,gf097*H.mp4,gf097t2aaunaff_H.mp4,3,0.1798,0.0636
30,30,107-hs107,high,low,l006.png,35,5,vicarious,99,hs107*H.mp4,hs107t1afaff_H.mp4,3,0.7744,0.4986
31,31,115-jy115,med,low,h040.png,19,3,vicarious,99,jy115*M.mp4,jy115t1aeaff_M.mp4,3,4.0,0.4954
32,32,049-bm049,med,high,h045.png,18,4,vicarious,99,bm049*M.mp4,bm049t2aeaff_M.mp4,3,1.7221,0.1605
33,33,052-dr052,med,low,h016.png,13,3,vicarious,99,dr052*M.mp4,dr052t2aaaff_M.mp4,3,2.3453,0.2795
34,34,064-ak064,low,high,h027.png,4,2,vicarious,99,ak064*L.mp4,ak064t1afunaff_L.mp4,3,0.1798,0.6065
35,35,048-aa048,med,high,h003.png,12,4,vicarious,99,aa048*M.mp4,aa048t2afunaff_M.mp4,3,0.407,0.4373
