,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename
0,ht108,low,high,h028_M087_STD046.png,0,2,vicarious,99,ht108*L.mp4,ht108t1aaunaff_L.mp4
1,bg096,low,low,h028_M061_STD034.png,1,1,vicarious,99,bg096*L.mp4,bg096t2aaunaff_L.mp4
2,dr052,low,high,h033_M120_STD051.png,2,2,vicarious,99,dr052*L.mp4,dr052t1afaff_L.mp4
3,mn106,low,low,h011_M070_STD046.png,3,1,vicarious,99,mn106*L.mp4,mn106t1aeaff_L.mp4
4,ll042,low,high,h046_M091_STD041.png,4,2,vicarious,99,ll042*L.mp4,ll042t1aeunaff_L.mp4
5,ib109,low,low,h012_M093_STD039.png,5,1,vicarious,99,ib109*L.mp4,ib109t1aeunaff_L.mp4
6,bn080,low,high,h011_M118_STD047.png,6,2,vicarious,99,bn080*L.mp4,bn080t1afunaff_L.mp4
7,jk103,low,low,h056_M092_STD049.png,7,1,vicarious,99,jk103*L.mp4,jk103t1aaunaff_L.mp4
8,dn124,low,high,h021_M077_STD047.png,8,2,vicarious,99,dn124*L.mp4,dn124t1afaff_L.mp4
9,kz120,low,low,h020_M086_STD033.png,9,1,vicarious,99,kz120*L.mp4,kz120t1afunaff_L.mp4
10,hs107,low,high,h036_M095_STD021.png,10,2,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4
11,ak064,low,low,h047_M082_STD057.png,11,1,vicarious,99,ak064*L.mp4,ak064t1afunaff_L.mp4
12,bg096,med,high,h037_M121_STD032.png,12,4,vicarious,99,bg096*M.mp4,bg096t1aaaff_M.mp4
13,ak064,med,low,h026_M099_STD056.png,13,3,vicarious,99,ak064*M.mp4,ak064t1aeunaff_M.mp4
14,bn080,med,high,h055_M099_STD054.png,14,4,vicarious,99,bn080*M.mp4,bn080t1aaaff_M.mp4
15,ll042,med,low,h033_M088_STD038.png,15,3,vicarious,99,ll042*M.mp4,ll042t1aaaff_M.mp4
16,dr052,med,high,h014_M111_STD027.png,16,4,vicarious,99,dr052*M.mp4,dr052t1aeaff_M.mp4
17,ht108,med,low,h040_M105_STD051.png,17,3,vicarious,99,ht108*M.mp4,ht108t1afaff_1M.mp4
18,mn106,med,high,h015_M113_STD037.png,18,4,vicarious,99,mn106*M.mp4,mn106t1aaaff_M.mp4
19,kz120,med,low,h041_M087_STD043.png,19,3,vicarious,99,kz120*M.mp4,kz120t1aeaff_M.mp4
20,hs107,med,high,h044_M077_STD044.png,20,4,vicarious,99,hs107*M.mp4,hs107t1afunaff_M.mp4
21,ib109,med,low,h010_M081_STD027.png,21,3,vicarious,99,ib109*M.mp4,ib109t1aeaff_M.mp4
22,dn124,med,high,h023_M110_STD061.png,22,4,vicarious,99,dn124*M.mp4,dn124t1aaaff_M.mp4
23,jk103,med,low,h002_M104_STD057.png,23,3,vicarious,99,jk103*M.mp4,jk103t1aeaff_M.mp4
24,bg096,high,high,h001_M107_STD065.png,24,6,vicarious,99,bg096*H.mp4,bg096t1aeaff_H.mp4
25,ht108,high,low,h048_M096_STD037.png,25,5,vicarious,99,ht108*H.mp4,ht108t1aeaff_H.mp4
26,ib109,high,high,h040_M112_STD041.png,26,6,vicarious,99,ib109*H.mp4,ib109t1aeaff_H.mp4
27,ak064,high,low,h021_M094_STD045.png,27,5,vicarious,99,ak064*H.mp4,ak064t1aaaff_H.mp4
28,kz120,high,high,h024_M088_STD053.png,28,6,vicarious,99,kz120*H.mp4,kz120t1aaaff_H.mp4
29,hs107,high,low,h001_M086_STD034.png,29,5,vicarious,99,hs107*H.mp4,hs107t1afaff_H.mp4
30,dn124,high,high,h043_M086_STD027.png,30,6,vicarious,99,dn124*H.mp4,dn124t1aiaff_1H.mp4
31,jk103,high,low,h009_M098_STD039.png,31,5,vicarious,99,jk103*H.mp4,jk103t2aaaff_H.mp4
32,ll042,high,high,h042_M099_STD040.png,32,6,vicarious,99,ll042*H.mp4,ll042t1aaaff_H.mp4
33,dr052,high,low,h049_M083_STD040.png,33,5,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4
34,mn106,high,high,h009_M103_STD035.png,34,6,vicarious,99,mn106*H.mp4,mn106t1afaff_1H.mp4
35,bn080,high,low,h050_M090_STD053.png,35,5,vicarious,99,bn080*H.mp4,bn080t1aeunaff_H.mp4
36,bg096,low,high,h031_M111_STD042.png,36,2,vicarious,99,bg096*L.mp4,bg096t2aaunaff_L.mp4
37,bn080,low,low,h024_M085_STD040.png,37,1,vicarious,99,bn080*L.mp4,bn080t1afunaff_L.mp4
38,dr052,low,high,h025_M089_STD035.png,38,2,vicarious,99,dr052*L.mp4,dr052t1afaff_L.mp4
39,dn124,low,low,h038_M113_STD042.png,39,1,vicarious,99,dn124*L.mp4,dn124t1afaff_L.mp4
40,jk103,low,high,h034_M100_STD047.png,40,2,vicarious,99,jk103*L.mp4,jk103t1aaunaff_L.mp4
41,ak064,low,low,h015_M087_STD055.png,41,1,vicarious,99,ak064*L.mp4,ak064t1afunaff_L.mp4
42,ht108,low,high,h003_M101_STD031.png,42,2,vicarious,99,ht108*L.mp4,ht108t1aaunaff_L.mp4
43,hs107,low,low,h016_M092_STD034.png,43,1,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4
44,ll042,low,high,h052_M114_STD048.png,44,2,vicarious,99,ll042*L.mp4,ll042t1aeunaff_L.mp4
45,kz120,low,low,h013_M103_STD044.png,45,1,vicarious,99,kz120*L.mp4,kz120t1afunaff_L.mp4
46,ib109,low,high,h054_M082_STD040.png,46,2,vicarious,99,ib109*L.mp4,ib109t1aeunaff_L.mp4
47,mn106,low,low,h023_M087_STD034.png,47,1,vicarious,99,mn106*L.mp4,mn106t1aeaff_L.mp4
48,ak064,med,high,h045_M117_STD031.png,48,4,vicarious,99,ak064*M.mp4,ak064t1aeunaff_M.mp4
49,bn080,med,low,h029_M090_STD041.png,49,3,vicarious,99,bn080*M.mp4,bn080t1aaaff_M.mp4
50,hs107,med,high,h029_M095_STD060.png,50,4,vicarious,99,hs107*M.mp4,hs107t1afunaff_M.mp4
51,mn106,med,low,h055_M112_STD025.png,51,3,vicarious,99,mn106*M.mp4,mn106t1aaaff_M.mp4
52,bg096,med,high,h051_M091_STD024.png,52,4,vicarious,99,bg096*M.mp4,bg096t1aaaff_M.mp4
