Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ISI4	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
1.7299	1.0000	6.8188	13.3188	18.0000	1.7299	0.0000	1.8188	0.0000	1.0000	4.0000	6.5000	4.0000	
11.7299	3.7299	8.9382	15.4382	10.0000	9.0000	0.0000	1.2083	0.0000	1.0000	4.0000	6.5000	4.0000	
14.6484	13.7299	24.7951	31.2951	16.0000	1.9185	0.0000	7.0652	0.0000	1.0000	4.0000	6.5000	4.0000	
16.7849	16.6484	29.6484	36.1484	13.0000	1.1365	0.0000	9.0000	0.0000	1.0000	4.0000	6.5000	4.0000	
20.6522	18.7849	28.5779	35.0779	9.0000	2.8674	0.0000	5.7930	0.0000	1.0000	4.0000	6.5000	4.0000	
23.7205	22.6522	29.0361	35.5361	11.0000	2.0683	0.0000	2.3838	0.0000	1.0000	4.0000	6.5000	4.0000	
32.4105	25.7205	36.9071	43.4071	1.0000	7.6900	0.0000	7.1866	0.0000	1.0000	4.0000	6.5000	4.0000	
38.7844	34.4105	39.9227	46.4227	9.0000	5.3739	0.0000	1.5123	0.0000	1.0000	4.0000	6.5000	4.0000	
40.9980	40.7844	48.4884	54.9884	2.0000	1.2136	0.0000	3.7040	0.0000	1.0000	4.0000	6.5000	4.0000	
46.3297	42.9980	50.8073	57.3073	11.0000	4.3317	0.0000	3.8092	0.0000	1.0000	4.0000	6.5000	4.0000	
51.6618	48.3297	56.3822	62.8822	18.0000	4.3321	0.0000	4.0524	0.0000	1.0000	4.0000	6.5000	4.0000	
56.3540	53.6618	59.3502	65.8502	1.0000	3.6922	0.0000	1.6884	0.0000	1.0000	4.0000	6.5000	4.0000	
58.7750	58.3540	71.3540	77.8540	14.0000	1.4210	0.0000	9.0000	0.0000	1.0000	4.0000	6.5000	4.0000	
61.1223	60.7750	66.3817	72.8817	11.0000	1.3473	0.0000	1.6067	0.0000	1.0000	4.0000	6.5000	4.0000	
67.5052	63.1223	76.0275	82.5275	17.0000	5.3829	0.0000	8.9052	0.0000	1.0000	4.0000	6.5000	4.0000	
70.9678	69.5052	74.7663	81.2663	9.0000	2.4626	0.0000	1.2611	0.0000	1.0000	4.0000	6.5000	4.0000	
80.9678	72.9678	78.9600	85.4600	10.0000	9.0000	0.0000	1.9923	0.0000	1.0000	4.0000	6.5000	4.0000	
85.8154	82.9678	89.8233	96.3233	9.0000	3.8476	0.0000	2.8555	0.0000	1.0000	4.0000	6.5000	4.0000	
89.8931	87.8154	95.8444	102.3444	6.0000	3.0777	0.0000	4.0290	0.0000	1.0000	4.0000	6.5000	4.0000	
94.7699	91.8931	99.6241	106.1241	11.0000	3.8768	0.0000	3.7310	0.0000	1.0000	4.0000	6.5000	4.0000	
101.8726	96.7699	107.4813	113.9813	10.0000	6.1027	0.0000	6.7113	0.0000	1.0000	4.0000	6.5000	4.0000	
111.5082	103.8726	112.3306	118.8306	13.0000	8.6356	0.0000	4.4580	0.0000	1.0000	4.0000	6.5000	4.0000	
