print_matrix(best_design_struct_under_idealLength.eventlist, best_design_struct_under_idealLength.eventlist_names);
Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ISI4	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
3.9940	1.0000	5.5489	12.0489	9.0000	3.9940	0.0000	0.5489	0.0000	1.0000	4.0000	6.5000	4.0000	
7.6020	5.9940	10.5801	17.0801	4.0000	2.6080	0.0000	0.5861	0.0000	1.0000	4.0000	6.5000	4.0000	
13.6020	9.6020	14.2693	20.7693	13.0000	5.0000	0.0000	0.6672	0.0000	1.0000	4.0000	6.5000	4.0000	
17.0099	15.6020	20.4538	26.9538	18.0000	2.4079	0.0000	0.8517	0.0000	1.0000	4.0000	6.5000	4.0000	
19.6563	19.0099	23.8418	30.3418	3.0000	1.6464	0.0000	0.8319	0.0000	1.0000	4.0000	6.5000	4.0000	
25.4249	21.6563	26.2385	32.7385	4.0000	4.7686	0.0000	0.5822	0.0000	1.0000	4.0000	6.5000	4.0000	
27.4314	27.4249	32.7216	39.2216	6.0000	1.0066	0.0000	1.2968	0.0000	1.0000	4.0000	6.5000	4.0000	
31.4862	29.4314	34.5039	41.0039	11.0000	3.0547	0.0000	1.0724	0.0000	1.0000	4.0000	6.5000	4.0000	
37.4862	33.4862	39.2941	45.7941	2.0000	5.0000	0.0000	1.8080	0.0000	1.0000	4.0000	6.5000	4.0000	
40.4957	39.4862	43.9874	50.4874	12.0000	2.0095	0.0000	0.5013	0.0000	1.0000	4.0000	6.5000	4.0000	
44.1916	42.4957	47.5133	54.0133	16.0000	2.6959	0.0000	1.0177	0.0000	1.0000	4.0000	6.5000	4.0000	
47.0790	46.1916	51.6212	58.1212	5.0000	1.8874	0.0000	1.4296	0.0000	1.0000	4.0000	6.5000	4.0000	
53.0790	49.0790	53.7676	60.2676	6.0000	5.0000	0.0000	0.6887	0.0000	1.0000	4.0000	6.5000	4.0000	
56.6497	55.0790	59.7541	66.2541	13.0000	2.5708	0.0000	0.6751	0.0000	1.0000	4.0000	6.5000	4.0000	
59.7928	58.6497	63.4611	69.9611	16.0000	2.1431	0.0000	0.8114	0.0000	1.0000	4.0000	6.5000	4.0000	
61.8575	61.7928	66.7231	73.2231	1.0000	1.0647	0.0000	0.9303	0.0000	1.0000	4.0000	6.5000	4.0000	
64.7449	63.8575	68.4864	74.9864	16.0000	1.8874	0.0000	0.6289	0.0000	1.0000	4.0000	6.5000	4.0000	
68.9152	66.7449	71.2957	77.7957	8.0000	3.1703	0.0000	0.5508	0.0000	1.0000	4.0000	6.5000	4.0000	
72.4016	70.9152	75.4299	81.9299	10.0000	2.4864	0.0000	0.5146	0.0000	1.0000	4.0000	6.5000	4.0000	
74.4546	74.4016	79.7042	86.2042	8.0000	1.0529	0.0000	1.3026	0.0000	1.0000	4.0000	6.5000	4.0000	
76.5932	76.4546	81.1911	87.6911	15.0000	1.1386	0.0000	0.7365	0.0000	1.0000	4.0000	6.5000	4.0000	
78.9527	78.5932	83.7505	90.2505	2.0000	1.3595	0.0000	1.1573	0.0000	1.0000	4.0000	6.5000	4.0000	
81.0723	80.9527	85.6414	92.1414	7.0000	1.1196	0.0000	0.6887	0.0000	1.0000	4.0000	6.5000	4.0000	
83.5369	83.0723	87.8113	94.3113	13.0000	1.4646	0.0000	0.7390	0.0000	1.0000	4.0000	6.5000	4.0000	
85.6205	85.5369	90.3846	96.8846	10.0000	1.0836	0.0000	0.8478	0.0000	1.0000	4.0000	6.5000	4.0000	
87.7591	87.6205	92.3345	98.8345	7.0000	1.1386	0.0000	0.7140	0.0000	1.0000	4.0000	6.5000	4.0000	
90.3921	89.7591	94.3511	100.8511	3.0000	1.6329	0.0000	0.5920	0.0000	1.0000	4.0000	6.5000	4.0000	
92.5199	92.3921	96.9494	103.4494	5.0000	1.1278	0.0000	0.5573	0.0000	1.0000	4.0000	6.5000	4.0000	
94.7093	94.5199	99.1228	105.6228	11.0000	1.1894	0.0000	0.6029	0.0000	1.0000	4.0000	6.5000	4.0000	
96.9038	96.7093	101.8602	108.3602	10.0000	1.1944	0.0000	1.1509	0.0000	1.0000	4.0000	6.5000	4.0000	
99.2253	98.9038	103.4521	109.9521	5.0000	1.3216	0.0000	0.5484	0.0000	1.0000	4.0000	6.5000	4.0000	
101.3909	101.2253	106.5209	113.0209	16.0000	1.1655	0.0000	1.2955	0.0000	1.0000	4.0000	6.5000	4.0000	
103.5904	103.3909	107.9977	114.4977	17.0000	1.1995	0.0000	0.6069	0.0000	1.0000	4.0000	6.5000	4.0000	
105.7599	105.5904	110.3711	116.8711	14.0000	1.1695	0.0000	0.7807	0.0000	1.0000	4.0000	6.5000	4.0000	
109.1346	107.7599	112.3264	118.8264	3.0000	2.3746	0.0000	0.5665	0.0000	1.0000	4.0000	6.5000	4.0000	
114.2856	111.1346	117.0318	123.5318	4.0000	4.1510	0.0000	1.8972	0.0000	1.0000	4.0000	6.5000	4.0000	
117.8434	116.2856	121.0850	127.5850	3.0000	2.5578	0.0000	0.7994	0.0000	1.0000	4.0000	6.5000	4.0000	
120.6834	119.8434	125.0457	131.5457	14.0000	1.8400	0.0000	1.2023	0.0000	1.0000	4.0000	6.5000	4.0000	
123.7966	122.6834	127.6888	134.1888	9.0000	2.1132	0.0000	1.0053	0.0000	1.0000	4.0000	6.5000	4.0000	
126.5344	125.7966	130.5621	137.0621	16.0000	1.7378	0.0000	0.7655	0.0000	1.0000	4.0000	6.5000	4.0000	
128.6673	128.5344	133.0943	139.5943	1.0000	1.1329	0.0000	0.5599	0.0000	1.0000	4.0000	6.5000	4.0000	
131.1100	130.6673	135.1743	141.6743	12.0000	1.4427	0.0000	0.5070	0.0000	1.0000	4.0000	6.5000	4.0000	
133.4662	133.1100	138.1225	144.6225	8.0000	1.3562	0.0000	1.0125	0.0000	1.0000	4.0000	6.5000	4.0000	
136.0966	135.4662	140.2981	146.7981	15.0000	1.6304	0.0000	0.8319	0.0000	1.0000	4.0000	6.5000	4.0000	
140.1159	138.0966	143.1280	149.6280	8.0000	3.0193	0.0000	1.0314	0.0000	1.0000	4.0000	6.5000	4.0000	
142.1380	142.1159	146.8925	153.3925	3.0000	1.0220	0.0000	0.7766	0.0000	1.0000	4.0000	6.5000	4.0000	
