print_matrix(best_design_struct.eventlist, best_design_struct.eventlist_names);
Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ISI4	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
4.7646	1.0000	7.9715	14.4715	14.0000	4.7646	0.0000	2.9715	0.0000	1.0000	4.0000	6.5000	4.0000	
8.7586	6.7646	13.3956	19.8956	13.0000	2.9940	0.0000	2.6309	0.0000	1.0000	4.0000	6.5000	4.0000	
11.4221	10.7586	17.8733	24.3733	7.0000	1.6635	0.0000	3.1147	0.0000	1.0000	4.0000	6.5000	4.0000	
13.5435	13.4221	18.5948	25.0948	11.0000	1.1215	0.0000	1.1727	0.0000	1.0000	4.0000	6.5000	4.0000	
18.0206	15.5435	21.0950	27.5950	11.0000	3.4770	0.0000	1.5515	0.0000	1.0000	4.0000	6.5000	4.0000	
20.8066	20.0206	25.9048	32.4048	5.0000	1.7860	0.0000	1.8843	0.0000	1.0000	4.0000	6.5000	4.0000	
26.2744	22.8066	28.1017	34.6017	18.0000	4.4678	0.0000	1.2951	0.0000	1.0000	4.0000	6.5000	4.0000	
32.0739	28.2744	34.4726	40.9726	6.0000	4.7995	0.0000	2.1981	0.0000	1.0000	4.0000	6.5000	4.0000	
34.2732	34.0739	39.2633	45.7633	16.0000	1.1993	0.0000	1.1894	0.0000	1.0000	4.0000	6.5000	4.0000	
36.4928	36.2732	41.6818	48.1818	14.0000	1.2196	0.0000	1.4086	0.0000	1.0000	4.0000	6.5000	4.0000	
41.5859	38.4928	44.3856	50.8856	8.0000	4.0931	0.0000	1.8927	0.0000	1.0000	4.0000	6.5000	4.0000	
43.9244	43.5859	50.3154	56.8154	10.0000	1.3385	0.0000	2.7295	0.0000	1.0000	4.0000	6.5000	4.0000	
45.9730	45.9244	53.1986	59.6986	6.0000	1.0486	0.0000	3.2742	0.0000	1.0000	4.0000	6.5000	4.0000	
48.8857	47.9730	52.9787	59.4787	2.0000	1.9127	0.0000	1.0057	0.0000	1.0000	4.0000	6.5000	4.0000	
50.9473	50.8857	58.0004	64.5004	15.0000	1.0616	0.0000	3.1147	0.0000	1.0000	4.0000	6.5000	4.0000	
58.9552	52.9473	58.1281	64.6281	15.0000	7.0079	0.0000	1.1809	0.0000	1.0000	4.0000	6.5000	4.0000	
62.3660	60.9552	66.1280	72.6280	13.0000	2.4108	0.0000	1.1728	0.0000	1.0000	4.0000	6.5000	4.0000	
64.4001	64.3660	69.7826	76.2826	9.0000	1.0341	0.0000	1.4166	0.0000	1.0000	4.0000	6.5000	4.0000	
68.1052	66.4001	73.9730	80.4730	7.0000	2.7052	0.0000	3.5729	0.0000	1.0000	4.0000	6.5000	4.0000	
71.6870	70.1052	75.5575	82.0575	9.0000	2.5818	0.0000	1.4523	0.0000	1.0000	4.0000	6.5000	4.0000	
74.9198	73.6870	79.1113	85.6113	1.0000	2.2327	0.0000	1.4242	0.0000	1.0000	4.0000	6.5000	4.0000	
80.3992	76.9198	82.6852	89.1852	16.0000	4.4794	0.0000	1.7654	0.0000	1.0000	4.0000	6.5000	4.0000	
82.4011	82.3992	88.5235	95.0235	1.0000	1.0019	0.0000	2.1243	0.0000	1.0000	4.0000	6.5000	4.0000	
85.1392	84.4011	90.0348	96.5348	2.0000	1.7381	0.0000	1.6336	0.0000	1.0000	4.0000	6.5000	4.0000	
87.4264	87.1392	92.1956	98.6956	18.0000	1.2872	0.0000	1.0564	0.0000	1.0000	4.0000	6.5000	4.0000	
89.9769	89.4264	95.4779	101.9779	11.0000	1.5505	0.0000	2.0515	0.0000	1.0000	4.0000	6.5000	4.0000	
94.8748	91.9769	97.7064	104.2064	3.0000	3.8980	0.0000	1.7295	0.0000	1.0000	4.0000	6.5000	4.0000	
98.4353	96.8748	102.6043	109.1043	10.0000	2.5604	0.0000	1.7295	0.0000	1.0000	4.0000	6.5000	4.0000	
101.1287	100.4353	106.9255	113.4255	5.0000	1.6935	0.0000	2.4903	0.0000	1.0000	4.0000	6.5000	4.0000	
107.3350	103.1287	108.9338	115.4338	11.0000	5.2062	0.0000	1.8050	0.0000	1.0000	4.0000	6.5000	4.0000	
110.5214	109.3350	116.0302	122.5302	5.0000	2.1864	0.0000	2.6952	0.0000	1.0000	4.0000	6.5000	4.0000	
112.6429	112.5214	117.9682	124.4682	18.0000	1.1215	0.0000	1.4468	0.0000	1.0000	4.0000	6.5000	4.0000	
115.2996	114.6429	121.6210	128.1210	16.0000	1.6567	0.0000	2.9781	0.0000	1.0000	4.0000	6.5000	4.0000	
117.3236	117.2996	125.8205	132.3205	9.0000	1.0240	0.0000	4.5209	0.0000	1.0000	4.0000	6.5000	4.0000	
120.1516	119.3236	125.0952	131.5952	2.0000	1.8280	0.0000	1.7716	0.0000	1.0000	4.0000	6.5000	4.0000	
122.5652	122.1516	134.3242	140.8242	10.0000	1.4136	0.0000	8.1726	0.0000	1.0000	4.0000	6.5000	4.0000	
125.6632	124.5652	133.5917	140.0917	15.0000	2.0980	0.0000	5.0266	0.0000	1.0000	4.0000	6.5000	4.0000	
127.7768	127.6632	133.9916	140.4916	8.0000	1.1136	0.0000	2.3284	0.0000	1.0000	4.0000	6.5000	4.0000	
131.0912	129.7768	138.1033	144.6033	3.0000	2.3144	0.0000	4.3265	0.0000	1.0000	4.0000	6.5000	4.0000	
134.0499	133.0912	139.7105	146.2105	15.0000	1.9586	0.0000	2.6193	0.0000	1.0000	4.0000	6.5000	4.0000	
141.5901	136.0499	141.9368	148.4368	2.0000	6.5403	0.0000	1.8870	0.0000	1.0000	4.0000	6.5000	4.0000	
147.8598	143.5901	150.0038	156.5038	1.0000	5.2697	0.0000	2.4137	0.0000	1.0000	4.0000	6.5000	4.0000	
152.8724	149.8598	157.5505	164.0505	2.0000	4.0126	0.0000	3.6907	0.0000	1.0000	4.0000	6.5000	4.0000	
157.5144	154.8724	160.5414	167.0414	15.0000	3.6420	0.0000	1.6690	0.0000	1.0000	4.0000	6.5000	4.0000	
161.3939	159.5144	166.7800	173.2800	18.0000	2.8794	0.0000	3.2656	0.0000	1.0000	4.0000	6.5000	4.0000	
163.5451	163.3939	176.3939	182.8939	1.0000	1.1513	0.0000	9.0000	0.0000	1.0000	4.0000	6.5000	4.0000	
167.8419	165.5451	173.0765	179.5765	2.0000	3.2968	0.0000	3.5313	0.0000	1.0000	4.0000	6.5000	4.0000	
169.8672	169.8419	175.8444	182.3444	4.0000	1.0253	0.0000	2.0025	0.0000	1.0000	4.0000	6.5000	4.0000	
174.0549	171.8672	176.9426	183.4426	3.0000	3.1876	0.0000	1.0754	0.0000	1.0000	4.0000	6.5000	4.0000	
176.8106	176.0549	181.5627	188.0627	6.0000	1.7557	0.0000	1.5078	0.0000	1.0000	4.0000	6.5000	4.0000	
181.1061	178.8106	187.2116	193.7116	16.0000	3.2955	0.0000	4.4010	0.0000	1.0000	4.0000	6.5000	4.0000	
184.5207	183.1061	190.3716	196.8716	12.0000	2.4146	0.0000	3.2656	0.0000	1.0000	4.0000	6.5000	4.0000	
186.6352	186.5207	198.8746	205.3746	14.0000	1.1145	0.0000	8.3539	0.0000	1.0000	4.0000	6.5000	4.0000	
190.1398	188.6352	194.0875	200.5875	7.0000	2.5046	0.0000	1.4523	0.0000	1.0000	4.0000	6.5000	4.0000	
193.0080	192.1398	197.7963	204.2963	1.0000	1.8682	0.0000	1.6565	0.0000	1.0000	4.0000	6.5000	4.0000	
195.0176	195.0080	200.7534	207.2534	15.0000	1.0096	0.0000	1.7454	0.0000	1.0000	4.0000	6.5000	4.0000	
199.3197	197.0176	202.4875	208.9875	2.0000	3.3021	0.0000	1.4699	0.0000	1.0000	4.0000	6.5000	4.0000	
202.7846	201.3197	206.9174	213.4174	14.0000	2.4649	0.0000	1.5977	0.0000	1.0000	4.0000	6.5000	4.0000	
205.4413	204.7846	210.0141	216.5141	13.0000	1.6567	0.0000	1.2295	0.0000	1.0000	4.0000	6.5000	4.0000	
210.6549	207.4413	212.9928	219.4928	12.0000	4.2136	0.0000	1.5515	0.0000	1.0000	4.0000	6.5000	4.0000	
212.7180	212.6549	220.1712	226.6712	2.0000	1.0631	0.0000	3.5162	0.0000	1.0000	4.0000	6.5000	4.0000	
215.2598	214.7180	219.7221	226.2221	9.0000	1.5418	0.0000	1.0041	0.0000	1.0000	4.0000	6.5000	4.0000	
218.8393	217.2598	222.6204	229.1204	13.0000	2.5795	0.0000	1.3606	0.0000	1.0000	4.0000	6.5000	4.0000	
221.5774	220.8393	226.3092	232.8092	17.0000	1.7381	0.0000	1.4699	0.0000	1.0000	4.0000	6.5000	4.0000	
223.7343	223.5774	228.7752	235.2752	8.0000	1.1569	0.0000	1.1978	0.0000	1.0000	4.0000	6.5000	4.0000	
226.2078	225.7343	231.1569	237.6569	8.0000	1.4735	0.0000	1.4226	0.0000	1.0000	4.0000	6.5000	4.0000	
228.4870	228.2078	233.7969	240.2969	17.0000	1.2792	0.0000	1.5891	0.0000	1.0000	4.0000	6.5000	4.0000	
230.5845	230.4870	235.6033	242.1033	9.0000	1.0975	0.0000	1.1163	0.0000	1.0000	4.0000	6.5000	4.0000	
233.4120	232.5845	239.5137	246.0137	15.0000	1.8275	0.0000	2.9292	0.0000	1.0000	4.0000	6.5000	4.0000	
240.5669	235.4120	241.7844	248.2844	3.0000	6.1549	0.0000	2.3724	0.0000	1.0000	4.0000	6.5000	4.0000	
243.2269	242.5669	249.5163	256.0163	9.0000	1.6600	0.0000	2.9494	0.0000	1.0000	4.0000	6.5000	4.0000	
246.7874	245.2269	252.9401	259.4401	18.0000	2.5604	0.0000	3.7132	0.0000	1.0000	4.0000	6.5000	4.0000	
