,figure001,figure002,figure003,figure004,figure005,figure006,figure007,figure008,figure009,figure010,figure011,figure012,figure013,figure014,figure015,figure016,figure017,figure018,figure019,figure020,figure021,figure022,figure023,figure024,figure025,figure026,figure027,figure028,figure029,figure030,figure031,figure032,figure033,figure034,figure035,figure036,figure037,figure038,figure039,figure040,figure041,figure042,figure043,figure044,figure045,figure046,figure047,figure048,figure049,figure050,figure051,figure052,figure053,figure054,figure055,figure056
s01,0.647475986581,1.12028582303,1.13396091426,0.656749257613,1.47881852168,0.923465468667,1.81930337893,0.303976934179,0.970506709272,0.601972041022,1.20303547152,1.09947082759,1.26194422211,0.760548827057,1.81930337893,1.14569847072,0.680541272794,0.524236623453,1.27994258484,0.135809417057,1.19276747105,1.10711871377,0.567818801493,1.07651309774,1.42988183757,0.265449982313,1.46129365673,0.871077678387,1.0746921557,0.45941790027,1.25173968292,1.35082870202,1.67276235058,1.17193991282,1.12125647784,0.0641484367373,0.0308052220107,0.697349702767,0.378807440882,0.773380358767,1.05941155767,1.08955212165,1.13981759503,1.1466208946,1.85184975847,0.332135323542,0.79528378743,0.437318737378,0.703340655608,0.998564894921,1.30808372773,1.42920934419,1.27267716227,0.785825039434,1.40218316966,1.38128803008
s02,0.604883328922,0.460290052818,0.864715473843,1.06440862284,1.5654415329,0.275261325775,0.799833148789,0.45941790027,1.15629267841,1.45132035526,0.887325378731,1.28828683961,0.963127044791,1.76031532382,1.04655866861,0.970925673791,1.73028716912,0.714327376245,0.595399490245,0.254443716642,1.50931391769,0.938724827179,1.63803873573,1.17221738413,1.46392940823,0.921047892632,0.772621714681,1.62441746686,1.16623696102,0.695343353377,0.484342575198,0.742548935477,0.127957137781,0.0114153923163,1.24992008912,0.969095172556,1.06440862284,1.13536071177,0.938724827179,1.64623654547,0.464698391242,0.542109914009,1.21475671793,1.24964494506,1.79290019548,1.51219788686,0.764936888067,0.825574223581,0.234931525241,0.500470632685,1.10711871377,1.35618427252,0.48506658095,1.29863733478,1.2618177162,0.0746387631515
s03,0.889932419816,0.0234388773406,0.505937072448,1.17221738413,1.42319746631,1.08790996965,2.34592286801,1.23466447313,1.10291094091,1.52845248471,1.17013823747,1.2290751667,1.16898005868,0.059800660569,1.0613076263,0.266823422377,0.72011090894,1.56739312818,0.0641484367373,1.47063560974,1.56293862305,0.192305105859,0.0114153923163,0.546219468116,0.609297628798,1.16898005868,0.987465930746,0.839015790075,0.491269339906,0.368124444682,0.732561065994,1.22926146461,2.55851265677,0.905147031434,0.814033224813,0.647390464329,0.384830843141,1.28828683961,1.00297496612,0.970925673791,0.849507802738,1.13201113547,0.949347895667,1.13396091426,0.72011090894,0.783927621719,1.27752874711,0.372893245027,0.492382735424,0.0586010399565,1.36660126375,0.702120833087,1.27994258484,1.68426717742,1.36541721827,0.970925673791
s04,0.300859251369,0.458827400712,2.07090361012,1.6372403029,0.148938265548,0.808206614222,1.25989343571,0.25384006041,1.43515205954,1.10668171489,1.28195148323,1.25073193582,0.921047892632,1.47518137406,1.07517979931,0.92853608005,1.01352091845,0.690586029209,0.830346819662,1.59871613667,1.33984393302,1.68849567665,1.07484845648,0.497022193457,1.66443811108,0.467369876462,1.37438868726,1.30653715364,0.781832065592,0.953266926579,0.264235698916,1.03649136273,0.646413433985,0.332135323542,0.232524326654,1.27752874711,0.878342991397,0.800953314951,1.08334611296,0.740832109608,0.302081700085,1.3035091734,0.587119444869,0.823671622698,1.65934321769,0.687737109248,0.783927621719,0.308456923636,1.68592239647,0.43530245184,1.66411061771,0.752135210673,1.6105174478,0.45941790027,0.308456923636,1.29301282868
s05,1.45132035526,1.24217394079,1.64623654547,0.992267350549,1.04946985416,1.31890944697,1.38128803008,1.16872880683,1.10425452971,1.78800530863,1.22035850437,1.55080676988,1.6372403029,0.356232611437,0.669237297255,0.226673220363,1.47807278047,1.4884701356,1.08294086227,1.54480520479,0.79528378743,1.0582791845,0.794959537153,1.25862467803,0.490611201225,0.794106966917,1.91367607453,1.51219788686,1.34743505527,2.08306546077,0.950100027785,0.577710535617,0.383324068809,0.0114153923163,0.782887894994,1.38521649944,0.688005501665,0.947135135739,1.45588860423,0.463580831835,0.882518710479,0.322131532162,1.66390391559,0.328665918809,1.48699862883,0.592619918728,1.35818473493,1.01592328624,1.07212382727,0.640333576782,1.45588860423,0.800953314951,1.02191508249,0.98603813675,0.54383644207,1.47696778393
s06,0.949347895667,0.867430339578,1.11881848326,0.814033224813,0.470960220802,0.732413140949,0.707649471677,1.51219788686,1.10230646313,1.26861343733,0.655316307022,0.577710535617,1.48225545836,0.706370234521,0.854161598412,0.79528378743,0.541107118408,0.818790992023,0.351397820359,0.441267788036,0.446540969327,0.927642780531,0.772621714681,0.992863275124,1.25610222288,0.793646414915,0.956946729045,1.28828683961,0.652231637026,0.494876743525,0.96184675716,0.690586029209,1.04572113907,0.582876022628,0.680840051406,0.753579501607,1.24308907845,1.58755377551,0.846967280464,1.41306049755,1.07570393316,1.2710018022,0.0775084950069,0.059800660569,1.76031532382,0.595399490245,1.52706426823,0.925707950216,0.308456923636,1.2357905498,1.70946852669,0.956946729045,1.10668171489,0.568394050307,1.35797490751,1.42639280868
s07,0.99140783378,0.932762977059,1.54480520479,0.878584103325,1.30808372773,1.42988183757,1.21479617894,0.441384415483,1.30470677767,1.07651309774,1.54996481578,0.405498985993,1.17158987236,1.60513646806,1.65031597978,1.13741565556,1.34987666006,1.81930337893,1.22035850437,0.587087267952,1.47518137406,0.809956908358,1.1466208946,0.851696709595,1.51278943162,0.307370580905,0.439556259235,1.52082747327,0.920406540264,0.606900778089,1.45101382,0.907367260812,0.626793082563,0.595399490245,1.62405843451,1.16966522819,1.46458826132,1.56293862305,1.19970599443,0.643860874407,1.34898203857,0.372893245027,0.460290052818,1.00297496612,1.21479617894,0.651991689754,0.372831589496,1.22460838562,1.03792125225,0.753579501607,1.52845248471,0.903801124129,0.702917204696,0.822711697684,1.11961410563,0.723278028876
s08,0.96107616232,0.74311818109,0.259049859039,0.619438696633,1.36660126375,0.563130484481,1.17221738413,0.773380358767,0.0775084950069,1.07241168137,0.308456923636,1.05616052964,0.867417276548,1.38521649944,1.42988183757,0.380558695831,0.702120833087,0.643860874407,0.107620970082,0.864715473843,0.704413229973,0.688005501665,1.00957878596,1.58436763673,0.992267350549,1.0651018359,1.17013823747,0.175903991888,0.99140783378,0.135809417057,0.702917204696,1.10230646313,1.10332947786,1.55080676988,0.0873744484762,1.71091070895,0.492345561681,1.30364963437,0.49454742578,1.05410790487,1.25507273796,1.44761189927,0.656749257613,0.794166385076,0.879419986134,0.927642780531,1.84373488243,0.619446767399,0.501265964296,0.882061064315,1.12125647784,0.441384415483,0.109278913751,1.63059295937,1.55177971393,1.59051765254
s09,0.466259633592,1.27443779118,1.42920934419,1.15362471265,0.328232233314,0.797894627464,0.180136291876,0.299408142233,0.637900016147,1.61288037135,0.742548935477,1.36692026487,0.826266613454,1.21905132658,0.85105363082,0.970506709272,0.137685759962,0.620986804839,0.260168454319,1.27267716227,1.66411061771,0.199265880915,1.60513646806,0.342102315123,0.822819905381,0.718368385771,1.63170609014,0.328232233314,1.18420449413,0.764936888067,1.68977561034,0.82687314536,0.618933259157,0.291287909699,0.305467133019,0.574674440742,1.51219788686,0.633265458732,0.822819905381,0.65515933131,0.467369876462,2.55851265677,1.1564924649,0.794959537153,1.05361452994,1.38129025251,0.709539897773,1.46129365673,0.856110871638,1.56850403433,1.41602970028,0.699037435865,0.349491015609,1.19071884682,1.38129025251,0.984996728741
s10,1.35525596771,1.0746921557,0.837041144706,0.707649471677,1.34746319722,0.432925435603,1.39595504755,0.447914763555,0.875295644656,1.31890944697,1.30653715364,0.346264875311,0.375324960484,0.467369876462,1.59051765254,1.30470677767,1.54739079192,1.32632739652,1.36541721827,0.732413140949,0.667701965622,1.34987666006,0.865673616087,1.01950468006,1.07651309774,0.226673220363,1.76125447999,2.5790050147,0.494876743525,1.25862467803,0.867430339578,0.953266926579,0.442710575766,1.17965848532,0.235366531257,0.929493069915,1.19071884682,1.39595504755,0.286575748884,0.822711697684,1.58436763673,1.12177523737,1.49983230162,2.23280435399,1.25940368493,0.75772352986,1.06154766865,1.28833752576,0.660455185637,0.706370234521,1.76125447999,1.71549607584,1.46392940823,0.474066301154,1.2112243105,1.67464343464
