,figure001,figure002,figure003,figure004,figure005,figure006,figure007,figure008,figure009,figure010,figure011,figure012,figure013,figure014,figure015,figure016,figure017,figure018,figure019,figure020,figure021,figure022,figure023,figure024,figure025,figure026,figure027,figure028,figure029,figure030,figure031,figure032,figure033,figure034,figure035,figure036,figure037,figure038,figure039,figure040,figure041,figure042,figure043,figure044,figure045,figure046,figure047,figure048,figure049,figure050,figure051,figure052,figure053,figure054,figure055,figure056
s01,2.42926100866,2.23019245028,2.00855119392,2.88777020053,2.46027339149,2.15612573304,2.47600328973,1.85670739754,2.44822243057,2.47533326075,1.72451741427,2.6377399556,2.39586869761,2.04768687314,2.28853294765,2.76111288619,2.71504393315,1.74676911803,2.17568876122,2.24428674008,2.17393613669,1.76312977908,2.57753307704,2.10688163457,1.87609115953,1.87937828215,3.01348103982,2.3696530288,1.65029192121,2.21721481955,2.78606939315,1.11309181117,1.33266153354,1.95460504785,2.71738769813,3.40125075833,2.96436592271,2.27686902698,2.15922234425,2.87578670504,1.66435528829,2.15922234425,1.52819817829,2.89566770576,2.6261178302,1.89295219703,2.08072236789,1.5090591042,2.78606939315,2.02961638952,2.33242071594,1.54200542023,3.05347739332,2.63705408722,1.66695518969,2.20446625459
s02,2.05395487222,1.95049384856,2.2073062719,2.70892127251,2.56476146591,2.06707540171,2.49659130924,2.39881922422,1.59909114897,2.01229640765,2.5493799472,1.58295082131,1.38272882403,1.87568505795,2.05816047285,2.77847654965,2.69442716358,2.22634866512,1.97846462246,2.01208872711,2.92428552538,1.39066555049,2.26537083754,1.86339245412,1.93720724071,2.57137032121,2.71834085371,1.72451741427,2.53497761964,2.69864063956,0.89921928821,1.57052036524,2.32118756403,1.40045954076,1.97260687423,0.89921928821,1.95460504785,2.76816090748,2.93738836342,2.21025464036,1.99611641396,2.51944906663,2.62358967322,2.06524176371,2.03431213392,1.82783937702,1.42338486032,3.01227614833,2.81692051145,1.65254143555,2.81692051145,2.15305683587,2.34118727806,2.33616576896,2.20496446142,1.98719195759
s03,2.22634866512,1.67554977845,1.9993332204,1.85398943815,2.18096371594,2.88295427187,1.76537517928,2.6377399556,2.07409094888,2.73706713502,2.3396100227,2.10388253548,1.81308166013,2.00456339805,2.23745084602,2.12574463874,1.79363380227,2.00665588977,1.67566518522,1.91730941582,2.25299420151,1.89123078876,2.26537083754,2.05459495547,2.4051792996,2.17160553841,1.45605346222,3.28254275866,2.81692051145,1.68027136812,2.2789273286,2.44822243057,2.47410388821,2.18738981903,1.66715356312,2.39252372726,2.62109987239,2.17498102435,2.12102036915,2.13437422893,2.5919020762,3.03359154258,2.79828323881,1.97846462246,2.04502095281,1.93720724071,1.9600418421,1.58295082131,0.69143389234,2.39940730685,2.50841846776,1.98929462742,2.08072236789,1.73491324787,2.29367622683,2.20959685273
s04,2.25120785445,1.54034130849,2.71962247672,2.33067317959,2.00456339805,1.96450867868,2.11091304012,1.83832137233,2.36589554719,2.18096371594,2.69442716358,1.54200542023,2.05337787235,2.61368840114,1.60174736637,2.49722037498,1.61166789318,1.80618122497,1.99147684976,1.5944466874,1.97755845725,1.44254849733,2.42468642058,2.27914704391,2.22262301673,2.67595943365,1.68392423431,2.20625728965,1.11309181117,1.98318233151,1.21538934884,1.28239884149,3.20925880081,2.20959685273,2.3869918122,0.838450438035,2.50384231207,2.2962630543,1.81308166013,2.18581266039,2.58931169521,2.17810249223,1.79065908314,1.99611641396,2.58690959267,1.75542698501,2.24277176944,2.09953106968,2.41007382793,2.10388253548,2.69068454105,2.24428674008,1.90938594943,2.63705408722,2.15503170676,3.30542439348
s05,2.70892127251,2.39252372726,1.65466009331,1.61580320778,2.29046352841,2.91164636414,1.33266153354,1.626520018,3.31134686239,1.46342318276,2.28087568946,2.10148022972,1.75236607291,2.39586869761,1.87841122884,2.8228702973,1.95779854348,1.44426219922,2.24288799535,2.4717987801,2.04452158369,2.54610989052,3.36894283173,2.22164694379,3.14542768716,2.11225532523,2.29232907799,2.6377399556,2.43972214948,2.31955576085,1.61411117185,2.2628232709,2.2092983935,2.42574872055,1.67635520588,1.79402419516,2.12102036915,2.81631605794,1.99147684976,1.92356716371,2.11004805843,1.79042641116,2.89709945148,2.15510254415,2.95938060578,1.75794316947,2.17568876122,2.90558521926,2.33510272075,2.7583790615,2.39116429728,2.89157852173,2.08818339578,2.04786133784,2.39395349879,2.32988156712
s06,2.33155128964,1.96135951972,1.96553662644,1.65195102609,2.58931169521,1.95779854348,2.59706845417,1.88446397258,2.33155128964,2.23855611189,1.1545146591,2.45419053749,2.44888984423,2.02890999308,2.75438978395,2.47841183135,2.4097456821,2.1683663255,2.77623836174,1.98719195759,1.12062563908,3.05347739332,1.43165165828,2.45549976489,2.08271241938,3.00133234539,2.60385136671,1.87841122884,2.38554908165,2.41007382793,2.43972214948,2.11630803513,2.69327962098,1.98336140884,2.57137032121,2.75262413862,2.5124860801,2.70892127251,2.04351573775,2.76351205925,2.3605105317,2.15477734046,1.87609115953,2.0458054707,2.44707977083,1.79105819445,2.88479788086,2.56038655351,2.33623862824,1.99201117931,2.11225532523,1.11675079048,1.96981594781,1.88948924432,2.55503679892,2.1725557698
s07,2.58927841386,2.19276238502,3.20393180372,1.38272882403,2.00759167569,3.30542439348,2.58425010649,2.10106703922,2.18347041633,1.95460504785,1.7530029544,2.1506460941,2.09562867514,2.20739910475,2.33067317959,1.59689047462,2.77623836174,2.66959136244,2.08818339578,1.59014544896,2.71962247672,2.92104111166,2.11748983618,2.71962247672,2.02953985301,2.57854045089,2.45419053749,1.12249230879,2.3349426738,2.67455562985,2.15349278489,2.13493799519,0.838450438035,1.99201117931,1.98719195759,2.33155128964,2.16782089891,1.95779854348,2.32988156712,2.20496446142,1.80618122497,1.71664244152,1.73491324787,1.73654785462,2.29065599628,1.5170031212,2.25111258581,2.15305683587,2.04205702346,2.69442716358,2.41694358376,1.74444046681,2.00665588977,1.61166789318,1.85670739754,1.90445456365
s08,2.11869958187,2.48261122355,2.30030843061,2.44265773417,2.16380219094,2.01229640765,1.73654785462,1.5090591042,2.58927841386,1.46342318276,2.35894579703,1.44426219922,2.11091304012,2.23231091334,2.94362502183,1.71949803444,2.16092065184,2.34118727806,2.27043056535,2.89566770576,2.05022707926,2.16782089891,2.32118756403,3.06490336753,3.49258579956,2.57969193731,2.12102036915,1.41156349865,1.80377208338,1.88107352841,2.07568791484,2.68444295967,1.9296290717,2.31410568757,1.36380670095,2.5919020762,2.17498102435,2.17110234653,2.01305372168,1.74277311084,2.58253089026,1.63992875439,2.27334721575,1.61411117185,1.97928425921,2.61368840114,2.69852038192,1.95228342682,1.85670739754,1.54200542023,2.20328927184,2.03312754971,1.04066061948,2.34233592798,1.98719195759,3.1501313106
s09,2.45481285789,2.04798648908,2.66428105505,2.38554908165,2.23855611189,2.06623635991,2.14763877282,2.81390164665,2.61078303212,2.76725077735,2.30148740265,2.05816047285,2.42191128903,2.72496739795,2.59149902899,1.87568505795,3.21192490724,3.08751631058,2.31944871838,2.89709945148,1.57162018361,3.01227614833,1.68561164641,2.18347041633,2.59512698824,2.65952724403,2.94446650813,2.17810249223,3.26629500241,2.80808944147,2.15612573304,2.26819882713,1.93894277035,2.33155128964,2.24786193051,2.00855119392,2.30148740265,2.5597831052,2.2171481091,2.22262301673,1.54200542023,2.0539340081,1.72451741427,1.53776290125,2.29950576453,1.91381309511,2.3349426738,2.71834085371,1.65029192121,2.00333121371,2.67455562985,1.94334433346,1.9600418421,2.42005461907,2.73449491084,1.63992875439
s10,2.68561924485,2.23440218715,2.55998393843,2.46642214127,2.2628232709,1.88054221975,1.90938594943,2.88777020053,2.08271241938,2.13437422893,2.33623862824,2.55998393843,2.03373024997,2.52474623611,1.96368702523,2.88479788086,1.98719195759,2.72175647666,2.67045614415,2.45707955036,1.36439298707,2.18581266039,2.16782089891,1.90367000432,2.16532032242,1.68968060161,2.65633609832,2.00137356885,2.02296457043,2.72496739795,2.26819882713,2.92104111166,2.02961638952,2.94446650813,1.97114057288,1.89981226212,1.98318233151,2.02377872152,1.87841122884,2.15510254415,2.42942750263,2.03832616592,1.68697651961,1.626520018,2.94667273904,1.54563629289,1.68697651961,2.48113992975,2.38007054468,2.92428552538,2.17033459359,2.8178207266,1.5944466874,2.89709945148,2.15922234425,0.89921928821
