,figure056,theta,r,x,y,newr
s01,55.32220429521062,124.67779570478939,254.5678275213894,335.16086773996847,196.65243116978658,1.0
s02,94.43672307940113,85.56327692059887,253.4263037962614,499.6045677131156,153.3331197394149,1.0
s03,7.263087902609781,172.73691209739022,252.24078154591254,229.78317413184303,374.11031628634134,1.0
s04,93.95233326767789,86.04766673232211,253.12800258676955,497.44723609041887,153.4740020386558,1.0
s05,48.71244626448078,131.28755373551923,252.20225439692842,313.5872537169058,216.49333785480908,1.0
s06,31.23914930970931,148.76085069029068,253.32260443161607,263.4066144595621,274.6240232913632,1.0
s07,10.234880422558387,169.76511957744162,253.40460017768757,230.62767004657647,360.974091404897,1.0
s08,1.9620067103535503,178.03799328964644,252.6278093610564,227.52029383602297,397.35083599889134,1.0
s09,53.626813001955604,126.37318699804439,252.24778816116284,330.40642904090925,202.8972915987914,1.0
s10,53.86673920674398,126.13326079325603,251.6610441946025,331.60421373329564,202.7465331577238,1.0
