,figure056,theta,r,x,y,newr
s01,1.3529229133035701e-08,179.99999998647078,248.09521306386722,231.90478693613278,405.9999999414174,1.0
s02,2.814914608114417e-06,179.9999971850854,250.56680420714383,229.43319579285648,405.99998768977116,1.0
s03,0.0019842357263178735,179.99801576427367,252.62245963394895,227.37754051754078,405.9912513187911,1.0
s04,8.068109821662082e-06,179.99999193189018,253.76651148502617,226.23348851497633,405.9999642658481,1.0
s05,0.0012979752374927722,179.9987020247625,255.49318117942124,224.50681888613843,405.9942120724195,1.0
s06,10.639391611880976,169.36060838811903,247.7668788389073,236.49256882618062,360.25552259888207,1.0
s07,1.1371272768721326e-06,179.99999886287273,249.49599357188683,230.50400642811323,405.99999504834904,1.0
s08,4.2950541784574925e-07,179.9999995704946,260.0755517246741,219.92444827532591,405.9999980503999,1.0
s09,42.06373804782927,137.93626195217072,254.92729084819035,290.74197953986703,235.20970369863005,1.0
s10,0.8392007954348222,179.16079920456517,255.92687712691944,224.100574282462,402.25161990033513,1.0
