,figure056,theta,r,x,y,newr
s01,2.7837074971626355e-06,179.9999972162925,254.15354320912516,225.84645679087515,405.9999876519854,1.0
s02,2.975902884800963e-21,180.0,246.9367590013215,233.0632409986785,405.99999999999994,1.0
s03,5.556796902578151e-12,179.99999999999443,255.70647931526543,224.29352068473457,405.9999999999751,1.0
s04,0.0029022201415703,179.99709777985842,252.12805569592302,227.87194462752657,405.98722888269594,1.0
s05,5.380996045048175e-19,180.0,255.89022266413573,224.10977733586427,405.99999999999994,1.0
s06,0.035298208870962355,179.96470179112904,261.1128018725999,218.8872476790624,405.839136255503,1.0
s07,0.5683834868893327,179.43161651311067,249.7990365734328,230.2132546422883,403.5219934187102,1.0
s08,1.0415377491118741e-06,179.99999895846224,249.65222188496247,230.34777811503756,405.99999546175627,1.0
s09,0.0003850788241695198,179.99961492117583,259.789029836868,220.21097016899938,405.998253985634,1.0
s10,1.936734044833907,178.0632659551661,266.6692757518682,213.4830580714035,396.987658736208,1.0
