,figure056,theta,r,x,y,newr
s01,47.97440565264975,132.02559434735025,253.18962122148986,310.499041540822,217.9191413893973,1.0
s02,4.196003500263596,175.8039964997364,251.85222521342985,228.82284369323213,387.5723171667817,1.0
s03,2.174100571747007,177.825899428253,252.55859469183994,227.6232053765352,396.41890985834374,1.0
s04,17.77959685396989,162.22040314603012,252.57318865804658,239.49016371103968,328.875203227816,1.0
s05,5.289088703539795,174.7109112964602,252.03379927027513,229.03929234507066,382.76728195095495,1.0
s06,119.21711827019855,60.782881729801446,252.99130171428016,603.4902256214045,185.19519271750323,1.0
s07,7.325016112593376,172.67498388740663,252.1337968932987,229.92389982038625,373.8535281129175,1.0
s08,1.9838695012081993,178.0161304987918,253.3047448931829,226.84708275907522,397.231061762678,1.0
s09,118.96107505628815,61.03892494371185,253.77507263724272,602.8817778517429,183.95978705641463,1.0
s10,103.91220486435243,76.08779513564757,252.74711734841293,540.7692062150544,160.66714670895664,1.0
